147.5,26
133,25
7.5,16
13,16
13,16
14,16
15,16
16,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
28,16
29,16
30,17
31,17
32,17
33,17
34,17
35,17
36,17
37,18
38,18
39,18
40,18
41,18
42,19
43,19
44,19
45,19
46,19
47,19
48,19
49,19
50,19
51,19
52,19
53,19
54,19
55,19
56,19
57,19
58,19
59,19
60,19
61,19
62,19
63,20
64,20
65,20
66,20
67,20
68,20
69,20
70,20
71,20
72,20
73,20
74,20
75,21
76,21
77,21
78,21
79,21
80,21
81,22
82,22
83,22
84,22
85,22
86,23
87,23
88,23
89,24
90,24
91,24
92,24
93,24
94,24
95,25
96,25
97,25
98,25
99,25
100,25
101,25
102,25
103,25
104,25
105,25
106,26
107,26
108,26
109,26
110,26
111,26
112,26
113,26
114,26
115,26
116,26
117,26
118,26
119,26
120,26
121,26
122,26
123,26
124,26
125,26
126,26
127,26
128,26
129,26
130,25
131,25
132,25
133,25
132,25
131,25
130,25
129,26
128,26
127,26
126,26
125,26
124,26
123,26
122,26
121,26
120,26
119,26
118,26
117,26
116,26
115,26
114,26
113,26
112,26
111,26
110,26
109,26
108,26
107,26
106,26
105,25
104,25
103,25
102,25
101,25
100,25
99,25
98,25
97,25
96,25
95,25
94,24
93,24
92,24
91,24
90,24
89,24
88,23
87,23
86,23
85,22
84,22
83,22
82,22
81,22
80,21
79,21
78,21
77,21
76,21
75,21
74,20
73,20
72,20
71,20
70,20
69,20
68,20
67,20
66,20
65,20
64,20
63,20
62,19
61,19
60,19
59,19
58,19
57,19
56,19
55,19
54,19
53,19
52,19
51,19
50,19
49,19
48,19
47,19
46,19
45,19
44,19
43,19
42,19
41,18
40,18
39,18
38,18
37,18
36,17
35,17
34,17
33,17
32,17
31,17
30,17
29,16
28,16
27,16
26,16
25,16
24,16
23,16
22,16
21,16
20,16
19,16
18,16
17,16
16,16
15,16
14,16
13,16
1,1
150,42
