time,perimeter,area,overl,location,diameter profile (pixels),Height (pixel intensity),length (pixels)
3301940,,,,,,,
3302004,,,,,,,
3302013,,,,,,,
3302022,,,,,,,
3302032,,,,,,,
3302040,,,,,,,
3302137,434.4091612100601,7299.5,33.0,[338 116],"[61.08714899323704, 61.02777829249736, 61.01582032306541, 61.00727862664934, 61.002050439977026, 61.00003231980517, 61.002455996508026, 61.00775803351716, 61.01591318529715, 61.350951651636464, 61.04036161542719, 61.056443994869156, 61.074957875070965, 61.09579792695943, 61.11885902859014, 62.05609000071624, 61.634087578873434, 61.212908972775, 61.244527341143765, 62.68256710398015, 61.95706108728682, 61.36436503770561, 61.402544156597, 62.131965299104905, 62.7009677459954, 61.94607926796306, 61.60225245844518, 61.64616016077713, 62.241614089365385, 62.17563117922147, 61.81958379930899, 62.54002518790172, 63.301544022987045, 62.573904713353244, 62.40318999787395, 62.09111621086677, 62.13761277050949, 62.18387933940217, 62.951544491505324, 62.489655223855635, 62.320566263226354, 62.365188910680125, 62.40922855078999, 63.25561684037074, 62.89221788566744, 63.54785335716569, 63.514344383532915, 63.49781665309786, 63.48381523432267, 64.32698401658848, 64.00990024532064, 63.71252282753353, 63.55954830766845, 63.33339970653273, 63.1209303621051, 62.921326627210604, 62.94354550196006, 62.971522825031016, 63.95890799302573, 63.82284936641615, 63.8340893077983, 63.847643449950525, 63.34350469761549, 63.22319839358393, 63.13955084610123, 63.154126311065646, 63.665950576954714, 63.57555627857464, 63.49167614898684, 64.60771932535235, 64.57586783011065, 64.55499296342522, 63.211206278846696, 63.21036292621542, 63.51518869390597, 63.47502902554989, 63.43927876817997, 63.40777299601092, 64.79989973918902, 64.88131835533558, 63.22779818499848, 63.32893451592772, 63.43664977702359, 63.55134795411312, 63.77224451043396, 63.7808049731526, 63.95080030448024, 62.97299123614066, 62.945270678055806, 62.91620358195937, 63.52266358066004, 63.54931487003379, 63.579625391576954, 62.758167149837504, 62.72205838037503, 62.68489632066249, 62.741335325030974, 63.00186686890989, 63.279339151549415, 62.75491473719832, 63.06549576834543, 63.39678927002144, 62.38169574887274, 62.33782730997959, 62.2934460702307, 62.60764349946635, 62.6883505228638, 63.06079654986348, 63.67300108191226, 62.97609517212095, 61.98206344446014, 61.93607311923312, 61.89020587151086, 61.84835097161864, 62.597795718661175, 62.03582650446138, 61.69125472664186, 61.64745754585829, 61.60431145788986, 61.87948683633047, 61.52031967772783, 61.479650003891535, 61.439983356224246, 61.385773984169504, 61.705343382061216, 61.31334478175699, 61.2791942396257, 61.246543908552084, 61.21548758510862, 61.18611952167319, 61.15853435906523, 61.58403834025919, 61.558094635118664, 61.08742705002772, 61.067925217851155, 61.05068284527699, 61.03034103691746, 61.01894666883608, 61.007267337737936, 61.0022746303647, 61.00009458215617, 61.00082078741045, 61.00454623829288, 61.011363240704966, 61.021363329728395, 61.034637184789915]","[475.8299930138411, 508.52022210736266, 530.6484800323268, 549.2426557732313, 564.3246861752151, 576.5866388976477, 592.2433931417758, 600.8933899213132, 607.1745773083709, 612.694970811405, 618.2124277027876, 625.1671271469446, 688.3108742372693, 702.5472387119355, 714.8669941280556, 723.8086803517216, 730.8419685850108, 733.9149702426481, 735.2941176470588, 735.2941176470588, 735.2941176470588, 734.474765825911, 731.946488843898, 728.27309316277, 744.1400844334328, 740.652076330302, 734.3320315874793, 729.3200330285639, 726.2124280241818, 719.3203863770939, 725.0308773272484, 720.6953358994192, 717.3347080566941, 713.0803515475699, 710.6935418532706, 717.9569223775597, 714.9710236901484, 713.1172653493206, 710.7559889059329, 707.0358964095435, 710.6673874145865, 705.9058162332092, 706.4906427864506, 699.6367208331203, 695.1007293555901, 689.9774260031904, 694.659583322493, 688.6846008683476, 684.265959454822, 678.6337124146141, 680.3345096251003, 675.1400512758491, 673.2068146950744, 669.4382113348111, 670.332750602246, 666.5182631371038, 665.290973196303, 661.4062694903281, 663.7174400096816, 663.45151964949, 665.1570841413848, 664.9115179162679, 663.980860697345, 667.404103427426, 669.133069766903, 668.907931277106, 670.3115560550492, 666.4487506336785, 663.1153041310631, 660.152640844297, 659.6382499052311, 655.8121542916476, 656.1486150599188, 655.9540014070593, 652.080767717471, 650.17487004272, 648.2690518877868, 648.6524568905008, 647.2179794677296, 643.4063411897768, 640.1211183223335, 637.214315967287, 632.458383588863, 628.5228889898997, 632.2273606964575, 630.322902299359, 626.4355101112826, 620.1857196956985, 623.1697456948758, 621.5686274509803, 620.6436891707384, 614.917996441622, 614.7365892937232, 610.7719628240689, 609.2008686481993, 608.5134893736356, 611.1661230623587, 609.8039215686274, 607.5150425965779, 606.3922086361911, 610.4163944054357, 608.526142488143, 607.843137254902, 607.843137254902, 607.843137254902, 613.7254901960785, 612.4482148636525, 611.7647058823529, 613.9984470095166, 615.6862745098039, 621.5686274509803, 621.5686274509803, 621.5686274509803, 621.5686274509803, 620.5390187390097, 619.6078431372549, 625.4901960784314, 625.4901960784314, 625.4901960784314, 625.4901960784314, 624.5214906573902, 622.6537243438427, 621.5686274509803, 621.5686274509803, 627.4509803921568, 626.3894535101773, 625.4901960784314, 625.4901960784314, 623.903183917617, 621.5686274509803, 620.3430428345987, 617.1247042261818, 614.8220313624383, 611.0801061841482, 607.3369247193441, 603.5920326813763, 598.2921083917711, 593.7724170119968, 585.8063563519006, 581.5486016523361, 576.4793457850777, 570.823808889527, 566.315339823998, 562.5323573274756, 558.7420796336417, 556.8627450980392]",158.42640687119285
3302146,447.23758828639984,7610.5,34.0,[337 120],"[62.46073326527848, 62.082072663922546, 62.05956521212232, 62.04082218845082, 62.025742711381234, 62.0104726308066, 62.00381492063618, 62.00046790324012, 62.000326161630056, 62.00328352160212, 62.00923315072437, 62.857817526963274, 62.02967918433729, 62.04395951282139, 62.06080015008361, 62.08009242721139, 62.10172759094203, 62.12559689474901, 62.15159168833797, 62.179603505467504, 62.20953288183627, 62.241283238481586, 62.42263895422951, 62.46295883667531, 62.36200085237118, 62.40055611742119, 63.188304659369166, 63.48173489963085, 62.5411171366551, 62.58450344625538, 62.64725000131659, 62.69246814290335, 62.757410428289745, 63.707468862987525, 62.870270761178304, 64.2896433610382, 63.77342432169555, 63.67698530626163, 63.59031208208021, 64.23560187451302, 63.61307478622615, 63.3800889082395, 63.32420743065015, 63.29388719837645, 64.0633967502266, 63.665395872967466, 63.42907189683662, 63.47279898356905, 63.51574008213028, 64.5807101499453, 64.26382641592396, 63.96619712305062, 63.686540110202316, 64.77297083344786, 64.47030638504552, 64.26144920195259, 64.2521612498015, 64.07709102707736, 63.91301324667482, 63.942027545611055, 63.96953680537894, 63.99550044703098, 64.01988027366718, 65.050031234816, 64.65480363882834, 64.6767413080938, 64.19887624629175, 64.12875380350046, 64.14148935024566, 65.65820816762249, 64.55337073740068, 64.46756917891818, 65.51712828381427, 65.50332474953566, 64.17925257006856, 64.1768400322494, 64.17257192005627, 64.47895366483124, 64.4338436140036, 64.39200762204888, 65.83162069917933, 65.91937715696582, 66.01758848018295, 64.38523927771604, 64.5100563999906, 64.64140674709208, 64.77962378775138, 64.79348022132001, 64.95916183720131, 65.1369317407796, 63.91389323681159, 64.02465455684012, 64.20811976503335, 64.27834175687566, 64.31108071490492, 64.56662805892941, 64.83761595412915, 63.6769832352668, 63.90985498880127, 64.16473036874723, 64.43328345479671, 63.53494706884745, 64.8386817327652, 64.18696830073138, 64.23744588684923, 64.29336382736287, 63.32644426683328, 63.41951512973948, 63.22927064187964, 63.27576980241638, 63.69915265446693, 64.24467497783658, 63.32009969633572, 63.40975554203003, 63.50841290687461, 62.925821632616646, 62.88725751236635, 63.1953021705045, 63.71665805152345, 62.77946400657077, 64.68545365509353, 62.70084876637107, 62.67028866440171, 62.640855043068356, 62.61251660375648, 62.57424989619359, 62.548429616215216, 62.85203959677043, 63.44835531227594, 62.6082908245189, 62.714093092496356, 62.82481982192424, 62.940813634706224, 63.062437696144585, 63.648055075131, 63.32413826620646, 62.34018639168798, 62.323771489441626, 62.308058383045456, 62.29302376099503, 62.27864481924206, 62.26489925869795, 62.7883425794538, 62.239221593535504, 62.227247390769776, 62.21582236682081, 62.204926704352744, 62.19454107275602, 62.184646624634325, 62.34197570257478, 62.542223463594496, 62.75669166058481]","[518.3959832765428, 545.5646658861864, 546.0524473473481, 566.8309783163924, 584.4697073907515, 600.8928277021839, 611.8512626233625, 619.5386844915031, 625.2974348303368, 629.8476551235436, 633.6738557295504, 636.3943011163631, 641.4437627989306, 650.0581588838667, 661.446071260425, 733.2933437899197, 741.3256340741369, 746.9857733960414, 751.5347116225397, 752.9411764705882, 752.9411764705882, 752.6147568181001, 750.7303640866876, 749.0196078431372, 744.6277346293093, 736.8071717733595, 732.6054795531185, 748.6084364403679, 743.7517607819136, 740.156646306645, 732.346401609578, 724.8215132986234, 716.8891786980084, 724.1040310333859, 722.1697088176078, 718.4113366797809, 715.1679278967084, 713.2853511739895, 719.4213339889782, 714.7935129889485, 713.8329267892558, 713.9690749715379, 710.445653134599, 705.110442187851, 711.5632758886247, 707.7991412141494, 702.1798348431596, 696.3376615656279, 691.7843145084495, 696.9821518098895, 689.2848837099007, 683.4895411068554, 681.744917231799, 672.9952907878826, 677.828364748054, 673.3723115899296, 673.3421109817917, 667.0403256855557, 668.1100047825261, 663.9754149124279, 662.3079718639941, 661.8968464965411, 661.6418807418366, 664.7058823529411, 666.1267466058142, 666.6248213048394, 670.5882352941176, 670.5882352941176, 670.5882352941176, 668.3069492681293, 666.4053851140447, 664.2376790858538, 661.8378751481572, 662.1121278853724, 657.7892869029804, 656.8627450980392, 655.0642827209624, 653.8101576418945, 651.9180277378484, 650.0266378861181, 648.6846613859002, 645.9809336618212, 643.0839346918448, 637.8036707766156, 636.1210179174969, 633.1704924873407, 629.3951604244879, 625.7554414245415, 633.0523270592103, 629.2790816377668, 622.6724758375551, 618.218963462605, 625.4901960784314, 624.4630360643037, 618.5169759695425, 612.6682396508268, 615.4204409273326, 612.6368926398368, 610.0411935179926, 608.1487880046164, 612.5968594622556, 611.7647058823529, 608.3085121781063, 607.843137254902, 606.2581754844775, 610.6778037127244, 609.8039215686274, 609.8039215686274, 609.8039215686274, 611.3436850352939, 617.6470588235294, 617.6470588235294, 618.5650353156907, 618.7703563848062, 618.4032133535137, 624.3782132901028, 623.5294117647059, 623.5294117647059, 623.5294117647059, 623.5294117647059, 622.0183864936927, 627.4509803921568, 626.3818766524035, 625.4901960784314, 625.4901960784314, 623.8442556932165, 623.5294117647059, 623.5294117647059, 627.0199499334897, 625.4901960784314, 624.4117371068553, 623.5294117647059, 622.5640581074252, 620.6579579403461, 617.8931352841062, 614.0752824877773, 611.0095234046445, 612.713790518691, 608.8762862400741, 605.0353903795855, 600.8060282593701, 595.3820199478181, 590.9031984065311, 583.4718611316995, 577.9315896627746, 574.0672165190831, 570.1984474205841, 566.3251547324041, 565.6362174554662, 563.917447467101, 561.9688308912865, 559.251250931004]",162.76955262170048
3302155,453.82337474823,7781.0,35.0,[339 116],"[63.288644395109074, 63.41057061987943, 64.52549870623022, 63.15310633449424, 63.12200794614105, 63.08440191448603, 63.062199155170035, 63.043532728366564, 63.028314080612304, 63.01645365402049, 63.00786097166865, 63.00244472294921, 63.00011284872386, 63.001900175819245, 63.00663139086261, 63.01412817919801, 63.024296183048875, 63.03704074750294, 64.02160921534914, 63.077852086232426, 63.098678006804214, 63.12166114199871, 63.146706595086705, 63.49496776312391, 63.31475454236663, 63.246472269175385, 63.27949381837628, 63.31406910689448, 63.36543889100142, 63.40338551712494, 64.35740329635505, 64.30609074733539, 63.541749540774454, 63.584500055757005, 63.628100441606904, 63.822241141724604, 63.95754451994449, 63.78220455204193, 63.84785815742781, 63.89473509746352, 63.96149673541353, 64.14547242430967, 64.13054298719888, 64.76638241522679, 64.20514280114696, 64.21847439255916, 64.26556581366779, 64.33165396682304, 64.37793392785021, 65.12540667931732, 65.72412441611714, 65.4712120275186, 65.4591658434392, 65.44932647441824, 66.30314881876969, 65.92212552843655, 65.56334048377977, 65.42930447126035, 65.42860107459464, 65.4294592465508, 64.89655142610803, 64.9320950198585, 64.96648318995497, 65.90859313338635, 65.6969811566071, 65.49764330918615, 66.77957500784744, 66.58603069847547, 66.40597364218053, 66.23891672120976, 66.08441393242647, 66.01181645815403, 65.88156879163706, 65.75946099547349, 66.31363628123651, 67.31127275618213, 66.18209773577165, 65.63429603046745, 65.67120009727905, 65.71066189835093, 65.47091571712797, 65.40734597037631, 65.36807429994349, 66.9470756445155, 66.96030697611081, 66.98371792890136, 65.69899267661634, 65.76978458817695, 65.51783581586501, 65.49546304334723, 65.47683937497445, 66.24609076260451, 66.2388895171268, 66.23542986308266, 66.23565868904153, 66.20124433388654, 65.17860820798657, 65.15395209985314, 66.68560686445146, 66.88445613839392, 65.99043879846698, 65.57236610392343, 65.75107726408474, 65.94051817647478, 64.91992028341305, 66.54710624792017, 65.79937562152429, 64.79036263196139, 64.75138372996119, 64.71151552545473, 64.67080760223477, 64.8951326229399, 64.94448736364765, 65.1516223370007, 65.58739268600101, 66.05000516165697, 65.23160932007698, 65.23826501644808, 64.28341089687649, 64.23738289848345, 64.19114043241679, 64.48273526841504, 65.1094527084204, 64.457268273919, 65.00075826996172, 63.939905577695356, 63.893888228322666, 63.84816668955712, 64.74399938903026, 64.11155297777113, 63.695294275571364, 63.65176412261239, 63.6089358774554, 63.777214746543194, 63.95797289490308, 65.20041312320821, 63.43026544535816, 63.39259989590181, 63.42639461856657, 63.32097903882203, 63.28718618408067, 63.25484723190205, 63.78255890265886, 63.1948591231437, 63.15650737128458, 63.13156804146149, 63.108528027314115, 63.08746968648757, 63.06847525649978, 63.051626792955844, 63.037006107026286, 63.024694702258444, 63.01477371079483, 63.00732382907763, 63.00242525312234, 63.00015761344895, 63.00059990976301]","[472.8226019599063, 506.2965887018021, 507.29022203976785, 531.1944544652938, 556.2037371783729, 587.8667949895602, 606.660941939065, 621.2220658868276, 633.2238636261678, 640.9152847523629, 644.6057083975106, 648.9060765766159, 653.930543217078, 657.9945553434386, 662.8463620780246, 670.1786768947015, 677.5056487690983, 684.8283098643033, 692.6355472819159, 704.4557367028654, 714.716776896825, 725.8181719973107, 731.3725490196078, 777.2376090659421, 776.470588235294, 774.6504981686253, 771.0094902343068, 767.996701517702, 762.9203226402344, 758.5574868599616, 754.9031858320932, 749.7288483393615, 743.1108634641104, 756.4539335027754, 749.1489544595462, 742.6501764215457, 733.4331998078828, 728.7331621972571, 728.5207149850331, 734.6939127633393, 727.0865608890149, 721.8816638644183, 718.1940367860118, 713.9074896063931, 721.8776663318139, 716.2809404279021, 717.0739735398524, 710.6999158672536, 706.9882912373618, 710.7723015438992, 705.9811601322946, 704.8266549459032, 699.2422402080514, 693.648676949345, 699.2026777056989, 694.4319748342722, 689.966515544367, 684.3546518948007, 678.7341907560519, 680.0826791739357, 676.3895180404502, 671.3533753120253, 667.5921409885971, 668.1345936224184, 666.8964824001025, 663.7292936590791, 666.4839968362919, 663.3485211203778, 662.9952212119007, 661.1161731314043, 660.7843137254902, 664.0098520473769, 668.7659739241454, 668.7146985537966, 670.4169719992757, 667.202120618828, 666.9275626503761, 662.1947035717137, 662.5689061827054, 659.3914143176843, 658.1995936512058, 658.6082047550885, 655.7165243759468, 653.4967972835215, 650.3327507319541, 652.9883388304726, 650.9803921568628, 649.5142338343552, 649.1194982563904, 644.4262917606669, 638.7035081811188, 630.6124231686732, 632.3582997867958, 629.5284259294882, 626.5825927763723, 622.2838020254743, 626.4238194277917, 623.5440765800009, 619.8793504679057, 617.9580395514726, 623.3183452201451, 619.2200541332077, 609.3597998135605, 613.7254901960785, 613.7254901960785, 610.7752212015735, 610.1976776648285, 608.297797117439, 613.2374472552424, 611.7647058823529, 609.5673862233677, 606.8103862785956, 611.7647058823529, 610.5219452420457, 610.9796341071684, 611.7647058823529, 611.7647058823529, 617.6470588235294, 617.6470588235294, 618.8430974260301, 619.6078431372549, 619.6078431372549, 625.4901960784314, 625.4901960784314, 624.2571483353709, 623.5294117647059, 623.5294117647059, 629.4117647058823, 629.4117647058823, 628.1105619229008, 627.4509803921568, 627.4509803921568, 626.3901643596513, 624.5124823231654, 629.4117647058823, 628.0676143570121, 626.1840050092821, 625.4901960784314, 624.3800421844649, 623.5294117647059, 622.5785509832219, 619.8273726537024, 616.0666569771599, 618.4970363590731, 611.8759477118931, 607.4003540377007, 601.3456746415408, 595.9042909180343, 590.1101791932043, 584.3993160300571, 580.6031920931609, 576.8035101620851, 572.9997899103275, 569.8898842217126, 567.3390080861444, 563.5201120181923, 560.2396954478311]",170.25483399593904
3302213,468.06601536273956,8027.5,31.0,[340 115],"[64.36914174847732, 63.46347548170438, 63.406719046860886, 63.84279939157733, 63.305199253279355, 63.57159520743683, 63.21926077455406, 63.1819741522431, 63.14838693452433, 63.118430306678036, 63.09203388510635, 63.069125784826724, 63.04963268833841, 63.81614307896587, 63.020591495760115, 63.01089023812, 63.004297806136535, 63.0007347903655, 63.00012078257586, 63.00412852938379, 63.01029722260397, 63.01913387921739, 63.0305545725336, 63.04447478047921, 63.0608094596067, 63.68042276058031, 63.32365015306159, 63.12344360986329, 63.53031964216996, 63.18748954678085, 63.21726565118591, 63.48440178349587, 63.28205560140516, 63.316896416305305, 63.654587098796455, 63.39103858950338, 63.446749918857684, 63.48763479804259, 63.93356596414323, 63.57273712158602, 63.63529807203488, 63.68058046247556, 64.48973469291153, 64.58921484692796, 63.84051643603088, 63.888603563507004, 63.957310015919916, 64.00628288304517, 64.07592787254448, 64.96955870198822, 64.19531688623074, 64.65718086108855, 64.98302706898441, 64.4567157183614, 64.41228507645792, 64.46071636014256, 65.4670242625227, 65.04599388006744, 64.64987049472022, 64.64975733033823, 64.6955427153049, 65.76571535147949, 65.42775802602168, 65.10900051631656, 64.87107236416333, 64.91278540502883, 65.73505782358238, 65.71503174568065, 65.7235776319376, 65.73339508240473, 66.6583542159986, 66.41771961026824, 66.19166386456877, 65.97956857797149, 65.8011741195738, 65.81851777803259, 65.61257766989694, 65.45724404915634, 65.3714794352227, 66.72570123682112, 66.59870593672777, 66.48260864072631, 66.37713074437829, 66.2456079426765, 66.1647822097949, 66.09380154628553, 66.03247816607303, 66.4756821243594, 66.39863461983852, 66.32689701083656, 66.24634585782246, 66.3000557151985, 66.35696950616175, 65.8812747813125, 65.90518166864618, 66.38653394330117, 66.35151923599567, 66.32026878108393, 66.44053018816075, 65.48771449273269, 66.35822020879358, 66.46111906355736, 66.57439990854911, 65.50353737088106, 65.62215195777476, 65.74747549090853, 65.87990667797946, 65.55102987900376, 65.73200310024383, 65.9253870660141, 65.18440489347253, 65.19130625265144, 65.37236315225755, 65.29861309440855, 65.32072892756935, 65.5848717118121, 65.87627883573555, 64.92926503298051, 65.17705109956799, 65.43951750183334, 65.71762285466514, 64.72296572972171, 64.67831446810473, 64.63301763193203, 65.38997418124508, 65.45248404334843, 64.62472992856671, 65.00436271779046, 64.37900735311598, 65.02291311253842, 64.40933684993665, 64.48556711395204, 64.56879119409224, 64.84892104423665, 65.5283317296623, 64.48096467056288, 63.95279841869469, 63.90522927967014, 63.85805595374211, 64.03775773735774, 64.761171511933, 64.48977182331494, 63.65641051194467, 63.61264968938917, 63.56975839878341, 64.44285884290115, 65.15961056040962, 63.43090548389472, 63.392763962480466, 63.3559067897676, 63.320411400233795, 63.286355352831336, 63.25381627627384, 63.849794006379, 63.19359956547488, 63.16607703403089, 63.140381564378345, 63.11659028676509, 63.475832706564375, 63.07502740063313, 63.05740844634721, 63.04199887284952, 63.02887384512381, 63.01435700735514, 63.00705353234001, 63.00228654345469, 63.000128217827715, 63.00392200293136, 63.01001402661931]","[462.1825410991495, 489.1390455054846, 516.1648939623301, 543.0721638007185, 569.8669122023167, 593.4057484678809, 619.2208854119498, 642.8241759229439, 639.0748462188349, 658.7434204908766, 674.3401436800151, 685.4851110559795, 694.8758730945156, 701.6973319944434, 704.6786223507427, 705.8823529411765, 706.4445457139416, 709.2218842096914, 713.0176322558804, 708.7918457925641, 708.7434180738651, 712.9495945376515, 719.6593203196047, 724.636500570678, 730.0612073093993, 739.2156862745097, 739.4107663179743, 806.1473511293002, 822.9545405420434, 821.1271027074557, 818.9910401674327, 815.5105892946467, 809.807989250691, 806.9953831121238, 800.6549407664154, 795.1608570587749, 787.3848246564518, 797.6913473182694, 783.3066210326473, 795.1850766178445, 787.1514980640817, 779.8715549972892, 780.1625593930047, 764.0566592900634, 756.6984704852846, 767.6831515700457, 759.8756939989898, 752.5197832642381, 742.0988655964769, 734.717226318733, 740.9145926999488, 736.6602580854363, 734.09181319027, 728.7172425794065, 724.0251202069167, 730.9650354947905, 726.184189902442, 721.5883577775107, 717.0034904337158, 712.1883170608187, 717.0751841464687, 712.3809354018586, 712.1223412010498, 707.5187965358334, 699.4413885511774, 703.4506962783432, 696.2080133937184, 691.3836647803448, 683.4628010564045, 687.925775167583, 683.1233338333859, 678.4559810568453, 673.8061905036911, 675.9001965085246, 671.8615768641297, 670.2195907009572, 663.0349797546834, 666.0996732011587, 664.2654695769995, 664.7058823529411, 671.9614038821637, 669.8539349613305, 669.3644061191529, 669.7664668445113, 675.6253865588774, 674.7771214282884, 677.1218545471675, 673.999679012116, 670.140982005558, 666.2815874003644, 662.7450980392157, 662.9538950693375, 664.2209026346803, 664.7058823529411, 666.6666666666666, 664.7196136841607, 661.8313242909396, 659.0766936240724, 655.7559162919681, 651.0151100402902, 645.6679871103712, 645.9815794141812, 643.0628796023359, 639.8397325868082, 642.8211164932009, 639.019894955886, 635.2208400576567, 628.2025381266336, 629.0800309991944, 626.3670009187958, 624.4874707523035, 620.3699266384876, 622.0118675614772, 614.9483733037365, 614.1223646958647, 612.218484885911, 616.4681927655955, 617.1054772347944, 612.9731316361712, 611.9760770135367, 615.2337780831721, 613.7254901960785, 612.6641733200775, 611.7647058823529, 616.4007129021105, 615.6862745098039, 615.6862745098039, 616.7022500125714, 617.6470588235294, 624.0212034693848, 625.4901960784314, 625.4901960784314, 624.5072888853484, 623.5294117647059, 629.4117647058823, 629.4117647058823, 628.3511153027993, 627.4509803921568, 627.4509803921568, 626.6524174429766, 631.7737789517709, 632.2378656084525, 630.3621492187684, 629.4117647058823, 628.5752860980141, 626.7031717158532, 629.4117647058823, 629.4117647058823, 628.3806803358052, 627.4509803921568, 626.5835131721599, 624.7048731291142, 622.1231009604885, 618.3655930874185, 614.0680734346802, 608.8876054191007, 604.7496039030917, 599.4042635822306, 601.6259276713631, 595.8665994549274, 588.7509818657586, 582.6723328048513, 578.7110519236011, 573.3267929275291, 569.5131951367205, 566.1802044202706, 564.2672805090639, 560.4307192259886, 558.1894713292361]",180.84062043356596
