time,perimeter,area,overl_set,centers_set
10061218,99.11269783973694,611.0,39.0,[232  15]
10061230,330.3502861261368,4395.5,46.0,[224  15]
10061241,283.2792184352875,3210.0,47.0,[224  16]
10061303,178.2670258283615,1703.5,49.0,[216  15]
10061315,166.85281229019165,1479.0,42.0,[203  12]
10061326,172.85281229019165,1610.0,42.0,[203  12]
