time,perimeter,area,overl_set,centers_set
10061218,370.14927566051483,3890.5,35.0,[203 231]
10061230,382.29141104221344,4243.5,37.0,[203 229]
10061241,161.11269783973694,1323.0,118.0,[189 233]
10061303,106.81118214130402,703.5,36.0,[185 230]
10061315,391.4629839658737,4532.5,53.0,[184 229]
10061326,409.7056245803833,4597.0,61.0,[167 228]
