time,perimeter,area,overl,location,diameter profile (pixels),Height (pixel intensity),length (pixels)
10061218,239.53910398483276,2917.0,140,[63 76],"[7.112378776835025, 7.973495865890772, 9.932782313259198, 10.835700739509026, 13.624372501143652, 14.96993290031657, 17.702652112688412, 19.800877193929736, 21.916543942077062, 24.76081884122355, 28.29480905146862, 31.117996136091953, 33.238865820367394, 36.772322983938494, 39.64666971027062, 41.86673788353435, 46.59040724300632, 52.473351267772955, 63.716499389097294, 81.0715568688108, 78.32196645375717, 77.00031391397606, 77.5077312651943, 79.10127530926027, 83.45534278338232, 74.50734475969284, 63.32362827966436, 56.95349435846316, 51.70587241208702, 48.08152793841941, 44.55665299234555, 40.34580595778735, 37.62842829787773, 34.07010671144826, 32.22353249481906, 29.469302863734498, 28.679471727778317, 30.57156092457097, 78.95307721173786, 49.4165271128053, 54.87053896300537, 54.8907028772379, 52.608838942404184, 52.06582342779895, 52.32324698530118, 51.34533746296417, 51.144019197187106, 51.032794185604985, 51.000055251731354, 51.054403079229985, 51.177618725100864, 51.3316409878469, 51.518943633484504, 51.73102257001217, 52.620434756831564, 52.43770393629849, 52.60381707475857, 53.05510365658931, 53.20482064298972, 53.32212355168919, 54.2757906397551, 54.729954236836065, 54.24627284886121, 55.15563021061416, 54.9056331949136, 54.77925443479039, 54.77248014111785, 54.88660163375228, 53.99866494135122, 54.14356397878288, 54.72421901845344, 55.5006561821202, 53.83713523186695, 53.60567670168373, 52.71289471728919, 52.34165932675619, 52.72551030627737, 52.813256486419824, 51.473650633002364, 51.19881528439771]","[150.0, 150.0, 138.2638597941106, 141.26115714626405, 143.92549973727947, 137.79937709072, 143.18276045926132, 146.7133952421483, 150.1586952520552, 154.58909859325166, 159.2471903187441, 163.10414873533153, 166.62645138379602, 168.54730759713186, 171.8853252716961, 174.2780858665019, 176.6317792420964, 178.2989402193944, 172.14356113768233, 150.0, 150.0, 150.0, 152.8253180394598, 152.85754638392544, 166.35096078475135, 162.43277998614832, 154.87648345939925, 144.87057656955915, 127.08782160907376, 109.98473433078803, 93.19396821849828, 93.22032236902102, 82.36062459277447, 150.0, 150.0, 150.0, 150.0, 149.99999999999997, 150.0, 150.0, 159.35330276216575, 150.00000000000003, 150.0, 150.0, 167.1935181367856, 167.13876123187185, 166.82161155008532, 171.87644983354187, 183.27841066990285, 182.5, 182.75829437798444, 183.4766883810765, 183.33219354882704, 182.86644451187513, 180.78313303309267, 178.4984975711751, 169.1884274853741, 163.5, 150.0, 150.0, 150.0, 150.0, 163.07918377968525, 177.4136944457952, 177.5851473868168, 180.14131951283116, 182.68898729393806, 178.9898584752401, 179.14427889452244, 180.6347135531712, 179.41017978124836, 179.80705487996784, 180.60739392676868, 178.5, 178.5, 179.10987871488277, 180.2407092880983, 177.82268171754316, 176.59538548270942, 175.70113949548139]",51.21320343559643
10061230,218.71067690849304,1457.0,86,[65 54],"[25.037711141081104, 27.7548159282224, 29.896409459983115, 31.026424944625347, 33.020694115198424, 34.204577922007005, 36.18641700680432, 37.43968241664484, 37.612401236582144, 39.64009617928177, 41.013334908242065, 41.26432334870516, 43.38520821308917, 44.57289754590744, 45.11718434784091, 47.06487586776409, 48.423742784753244, 50.497304746866035, 51.701585608926564, 53.09179004998229, 55.154237961329024, 57.276229803286434, 58.72120729306535, 61.63338354049455, 63.10707076366833, 66.11835247969736, 68.40445039022548, 71.40513855399698, 72.99191427778786, 75.28275267900378, 77.72855171511691, 80.0024870745893, 84.03543194776734, 86.4398633532173, 87.83083368935905, 86.49152158313679, 86.41966391180937, 84.22197779882032, 84.91985531153766, 83.70583629684475, 83.2830917298499, 83.1479151585005, 82.99905594261992, 81.24918794956068, 81.00957020615198, 81.76305889865385, 79.81571246448507, 79.60054213433645, 80.19778612708194, 79.48742410575723, 79.02311819470887, 79.75017596993787, 79.21079583725981, 78.79985777042347, 77.63807752137737, 78.37117833741573, 77.68702774928329, 78.16992457481734, 77.7449241726934, 76.89061928193473, 76.78859160834433, 77.64104621145216, 76.56914954271096, 76.78240285959288, 77.04514393878941, 76.29054260674687, 76.23031303239065, 76.5370692942874, 76.94357148070645, 76.16955127330942, 76.40136543406079, 76.62427796352598, 76.83724665484095, 76.58569813638084, 76.79742883552798, 76.9783166515404, 77.12718305686178, 77.24298961685474, 76.20087531973304, 76.13283692767854, 76.24748312100195, 77.3401442275247, 77.26593232969692, 77.1560173862629, 77.01068031652096, 76.83039413554134, 76.61582091156744, 76.71018435526028, 76.48626435764234, 76.2504609375554, 76.0638440109131, 76.11219583183296, 76.42057123310296, 76.2516212034149, 76.31958155949907, 77.39206850426454, 76.89057336493318, 77.50588307597609, 78.48852507180183, 77.80025887435882, 77.10233448411122]","[99.01639796042477, 110.1282117996833, 115.90372431004592, 118.23160110385558, 123.12605072487261, 127.10859806359294, 129.74524682375647, 131.02081475167847, 130.97179137805063, 133.05627154118326, 133.0577829462076, 134.90439937220538, 134.16988181418222, 132.06320302704333, 130.38562335804946, 129.4467770643317, 127.60920766841866, 124.03036977372196, 120.4897840290403, 117.99217223750671, 114.11071768481744, 108.97405531774812, 104.59706926652876, 101.540071598808, 100.05127114405852, 99.56769108119093, 100.66173172364026, 103.17417678963281, 106.45848171584908, 108.8928808860454, 111.27748819131425, 114.08245746894492, 119.03044220767144, 120.4057498447313, 121.91487150396112, 124.34722347166792, 126.01350044095771, 128.92442239860583, 128.5, 128.01626759629877, 130.3852872871675, 134.69600882867627, 136.11077521890752, 139.612075588587, 145.22275639121543, 149.42415815374676, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.74634493558972, 150.00118453914283, 157.99996336201517, 158.5113823673383, 159.7469536227112, 157.58319662403056, 153.81057721547532, 150.0, 150.0, 150.0, 150.0, 150.0, 154.65321391787103, 167.6819887470378, 166.4920063468108, 168.1427484036934, 167.1275763581003, 166.06982963453382, 166.5, 166.02419944173218, 166.06618627177522, 165.71465100942928, 167.57132870731647, 165.54603989478238, 166.74197405867133, 164.86554526302046, 160.88577449337694, 158.8280500281977, 157.396588486953, 156.76249524065548, 157.26920060275657, 156.24528998489666, 156.0, 157.4623093859096, 156.39073566452035, 158.65647965046486, 159.70432798642088, 162.53736686125592, 160.1616070375786, 160.74378531802643, 161.23020488670267, 162.12900322754405, 161.6092482838047, 162.23511657025477, 162.63838272988704, 163.25354558004224, 161.07498008191766, 162.2671863313335, 163.01603704248993]",90.59797974644667
10061241,231.78174459934235,1584.5,152,[58 67],"[104.00058161374257, 47.75902352544879, 35.74064346329573, 33.76562968550813, 34.63764591381691, 36.185963023301646, 39.08814277464285, 41.20891847792582, 43.33109147253823, 48.20731079809721, 53.57994199175345, 60.99334702668004, 88.78760005481084, 104.06255005670802, 106.70047427981407, 112.3029967466891, 117.63954590179316, 101.02276812141955, 89.15549316435335, 84.23254382776109, 109.50051314986912, 67.7094725713393, 57.865401355879754, 58.042934561335024, 58.679370570734264, 61.439409096537794, 65.20222694646245, 70.05036396912084, 69.14019234212623, 67.97891316400813, 66.57260241966883, 66.21673950165732, 66.03758458690467, 66.00345993203186, 66.83317138822706, 66.25956308592114, 67.07327362050027, 66.79449355744443, 67.42511993454342, 68.1686721026594, 67.81254054937833, 68.68533569008895, 68.81263411875452, 68.92222452501227, 70.08428300911575, 70.66713035080384, 71.13350764399527, 70.58992627968115, 71.6391456164587, 71.5099169626179, 70.20287700306825, 70.39489916571401, 70.8048688744075, 70.2604889022625, 69.67322137588872, 69.31815262717635, 69.62117536452324, 69.33794298906054, 69.77563267320632, 69.29087255450554, 68.41091595407742, 68.12766313427126, 68.03053633907413, 68.19149703936418, 68.84939142502435, 69.48940116462121, 68.65084266202074, 67.65874785108022, 67.63288426597757, 67.97499527260644, 67.6806463432621, 67.97810450755347, 68.2693655952387, 68.5066737303028, 67.51449968883745, 68.84027372010476, 68.87471091056003, 68.8472179838001, 68.75810589538393, 68.60849312180012, 68.29745280107433, 68.0109671075349, 67.68542207019883, 67.53607443897171, 67.58039122770819, 68.55558631080504, 68.39599732781087, 68.21130244712016, 68.89281614459543, 68.9008323940952, 69.31854023572063, 68.58668702282807, 68.27596382522846, 68.39476200363744, 68.57898854263146, 70.77235424202507, 69.94108604058422, 69.21860871051902, 69.66287532355264, 70.51790112955526, 70.87267337738255, 70.30575598390718, 70.50773525555061, 72.49771191276373, 71.56496773318898, 72.15786568366254]","[150.0, 150.0, 150.0, 150.0, 120.88001365036764, 110.62302463128007, 97.21620621467548, 99.95870239526144, 106.13431886685999, 110.58246537765342, 111.99339178840394, 116.34792025539994, 120.43364963976016, 122.75929953274627, 124.6270026582844, 126.01068033395977, 126.59344283714611, 126.14694399844245, 124.63317693547494, 122.56437019681837, 53.72186847138205, 33.453593411716426, 41.45654243151789, 48.824984277781894, 53.276239634282206, 63.723135183488694, 70.0138099035953, 76.67780499079296, 85.68598675903658, 94.18441014262888, 98.785817882066, 132.09773767581953, 150.0, 150.0, 143.4999375071703, 116.69982234094799, 119.13278282671948, 120.79281933715166, 122.18111131470728, 123.96452672889292, 123.65070233044719, 126.47298513995942, 129.30202735638872, 132.54338466917136, 133.54507532355288, 135.31513332685245, 139.19579036028844, 140.41266851236844, 144.28014171764502, 144.8319430467671, 143.9471654472224, 143.83083298143788, 144.48219169795019, 146.86718049305986, 148.40276313605534, 147.72139629362027, 148.72924814472043, 149.0, 150.01216278067048, 151.11810979955263, 149.99999999999997, 150.48905368800192, 151.5, 152.0105948424191, 153.60605020148034, 153.72571678064045, 154.26570136900858, 154.5, 154.5, 154.85944876934397, 150.9486974788864, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 151.10983848694227, 152.97458122123763, 152.73974143875006, 149.2038358115871, 148.2678766715159, 148.59861827217938, 148.99648194191263, 148.41169124017756, 148.5, 148.33844690098113, 148.1340585283788, 148.9337696965245, 150.118964763456, 152.36311945407232, 152.0, 150.7494789000821, 150.83715559626782, 151.5, 151.5, 150.9309823084646, 152.65108207952218, 151.17251310821416, 150.41570744658395, 150.0, 150.0, 147.8995690951961, 147.17509863338302, 147.03096297754632, 143.61717623319146]",66.62741699796952
10061303,363.1787132024765,3542.5,103,[55 55],"[42.89759108134121, 44.700677854023674, 48.715124933729584, 49.50088724682964, 51.5336871503199, 52.46772925176308, 53.45849884259184, 54.46380995980215, 54.49814874149788, 55.42159178955997, 56.661662850133744, 56.82411591496826, 57.84609741444939, 58.078558351646166, 57.23635061753893, 58.298895876343366, 58.629402101596156, 59.73474808925852, 61.08418543296045, 61.491804351743866, 62.64954939359116, 63.11763193151813, 63.568187520217165, 64.74528917490912, 66.06769790698274, 67.31730820152282, 69.36502218368872, 70.01310174035697, 72.12534152273375, 73.55545226691328, 75.73389023111189, 77.95930948237196, 79.48540090162189, 81.80610606582081, 84.12217906136419, 85.66704473157695, 88.82332812202858, 91.3394334069495, 94.5527553228398, 94.2558088504185, 93.02857804534317, 92.05909253056544, 91.78163029731937, 89.7538144240074, 89.45086870768111, 88.3753983561389, 88.04949768807026, 88.05608621366514, 86.86235283319367, 86.83401740773665, 85.15417531374453, 86.00961264922128, 84.56487506982857, 84.3185818100375, 84.11507352663972, 83.35587259530085, 83.39310443129548, 82.34050893853238, 82.34108504976992, 82.83886600504157, 81.58429611075198, 81.90512922375986, 82.53136602706502, 81.04781612007233, 80.9116087788895, 81.58982783140365, 81.22625501037706, 80.50832633048881, 80.40709398195712, 80.66920278461822, 80.45310991033246, 80.9128739603905, 80.04010988114123, 79.97316522277272, 79.95791737659081, 80.61263108731903, 80.828260646018, 80.25816265586334, 80.59286969866004, 79.66184673558445, 80.28935079856228, 80.54575658332686, 79.57599363747369, 79.5784381221516, 79.56921428605428, 80.31533364229132, 80.42774492054862, 81.51822848809152, 80.45324158358125, 80.378087529743, 80.29039753033067, 80.19063790595465, 81.03260233600245, 79.57584087689654, 79.6001548838399, 79.62849739370282, 80.49014570368271, 80.3202435000738, 79.79921063461066, 79.80567449944775, 80.6650134057777, 80.46222477353871, 81.19439882458735, 80.88507454339674, 80.66826828313644, 81.08407940114273, 81.02020561486572, 81.34889658758547, 82.21159695191851, 81.38487143962764, 80.9232531669617, 81.8832073910812, 81.35039965252909, 81.62482801370444, 80.64626860164012, 75.59615069288243, 69.55994054877041, 63.50075385551577, 59.457181378497964, 57.200142920960246, 52.23661021865812, 47.224500749247596, 43.844803063511314, 40.46314995934689, 36.44809925161776, 32.38509241276786, 28.952638047938898, 27.74609628837483, 24.66297288509564, 21.53562168953728, 19.13663013719651, 16.727825592779304]","[88.52515561691015, 102.82146065800777, 113.06103310312409, 121.61959715684029, 134.43263176387018, 142.39831626814873, 142.70165688834635, 150.7857079317241, 155.88401241836783, 158.3761128865989, 162.73324206163406, 161.80085271314627, 164.5814522138665, 165.91615178666737, 167.2306863733656, 168.13064532155903, 169.16021951186843, 166.92939668821413, 167.10391181534533, 167.3893630600992, 164.89313643937254, 162.0445303625755, 159.9286372550136, 157.33157660940958, 155.01247301952327, 148.9522237805019, 145.12736166551795, 142.72115675846197, 138.22276245749146, 133.90420516148623, 131.91001967331306, 129.54425503614561, 127.70091772925358, 126.85872495684046, 128.48234582029292, 131.77008719566658, 133.2737176071376, 134.8730362102119, 138.1245100533402, 140.62972531428017, 143.43074623083325, 145.53149156677017, 147.6830936348484, 149.5674006033209, 150.4812837798491, 150.62695232501034, 150.87189667447436, 151.66620989123183, 152.75751467741904, 151.31277560783005, 150.1548974460734, 150.0, 150.0, 150.0, 161.54160245746942, 160.54956935938642, 153.68943523872497, 151.49692681444242, 150.0, 151.55706804523612, 173.30563284097602, 176.5403381712074, 176.2212104296609, 176.71171849378425, 166.12136631720898, 156.4966261970018, 150.0, 150.0, 150.0, 166.0, 175.9578762953716, 182.716257790148, 183.04844217231874, 184.6511905910831, 184.71430856014618, 185.35006876337258, 188.62659306492588, 187.99999999999997, 187.38747486108434, 185.5234725153745, 184.77856120863657, 184.62039701307205, 183.69346010653595, 183.0, 182.00354395905003, 180.11736620169248, 180.0, 178.53966352804815, 179.23343954111874, 179.40773247157392, 177.86623395799018, 177.81087440836595, 178.34341815332064, 178.68562219359904, 179.65478558246076, 180.0, 181.4749534045074, 184.6731522249895, 185.3536445588574, 185.5, 183.3011993852212, 182.29358825765073, 182.0223749688767, 181.9992320233088, 182.8089870676107, 183.28447419088985, 182.17226421037404, 181.5, 181.36052035357636, 182.33973018850645, 180.9476009543422, 179.52355812963606, 178.28800747261388, 175.8801767950631, 175.64220133462163, 172.54452850788084, 168.63544999286762, 167.35668459110315, 161.98748417987187, 157.06436523886413, 153.305892241855, 148.63976705974315, 143.41554318454632, 139.67118319223653, 133.18335823066232, 123.8969030490021, 118.46677579801374, 109.25998346515519, 109.1784647273353, 91.87972765075925, 80.66615508974441, 142.77768502656502]",93.18376618407356
10061315,308.5512965917587,4116.5,107,[40 54],"[12.095045628357349, 15.18727550030735, 21.143352790970187, 24.155223146224905, 30.440659242592247, 39.16204473524279, 46.40220378248664, 56.917190041934475, 64.07326796367558, 71.22003918656063, 78.89551885815618, 82.05435247458463, 82.25314632848632, 80.87732779842048, 78.15446292610523, 73.68588834341719, 67.75542491369072, 64.18167042420627, 60.75963004244122, 57.23094396959189, 55.83644783724857, 55.36497344249584, 55.19149602114827, 56.57524912592887, 57.39314001658573, 58.96005740496437, 61.46064623808488, 64.03868585307225, 66.60066718563064, 68.17611614835573, 71.73133712382075, 75.95289232714433, 78.32362071852373, 82.86459843659217, 85.14274951820393, 88.13000196825271, 88.50594223099156, 87.88890216203639, 88.29994316001424, 87.70150245686818, 88.152294198547, 87.57605801684213, 86.88254846954652, 86.38654372580959, 85.54482209821637, 86.20502711119829, 85.66551096847343, 85.03038591372417, 85.50644416115762, 84.8539484314162, 84.3385030007291, 84.93530459889166, 84.47564384622979, 84.08442155681657, 83.05563557840551, 83.75378254577043, 83.35214082776392, 82.97145528124281, 82.62115751962216, 82.06197453890228, 82.97697899966266, 81.46651432640657, 81.39809576606514, 82.76792253789338, 80.9750862141144, 81.48298733380219, 80.60730115972544, 80.47106095218302, 82.1535541132059, 80.18965598153025, 80.95035144461181, 80.52483625034331, 80.5863306217069, 79.7373528191905, 79.66227901595647, 79.79558866835336, 80.2751546943564, 79.5176953942087, 79.48436158708749, 79.47245187243124, 79.46974924309293, 79.47614851303618, 79.501094773591, 80.41654513504136, 79.76654982482793, 79.62282719214491, 80.08217534158669, 80.75225586247446, 79.90818920619913, 80.0306175140522, 81.04015763588652, 80.51391318534758, 81.0374985694162, 81.91724138324801, 82.60892450210653, 83.3456579047851, 84.12643992126607, 86.07367529496754, 89.28877324743183, 91.3244581473391, 85.503520762443, 79.1700503050359, 75.78705197063604, 74.25870493390745, 73.85246512254457, 75.38796496362166, 78.22607122013952, 84.1885060970441, 92.12394578138655, 108.9919419698958, 115.72068505510619, 114.91738746929197, 113.89027829695577, 113.25764023452705, 113.04365575337133, 113.15296452960918, 113.1849962621833, 114.62865366906814, 114.6230449304228, 118.08938598178786, 122.97411999951342, 131.71587659497774, 54.467754337644564, 54.68692469066802, 110.41020990515818, 98.14187017632182, 86.8227753225295, 82.52071518591879, 80.19491955230488, 79.01719430059683, 80.05838250962742, 81.75002251213671, 73.78623890416237, 62.78326173481012, 57.02709492349257, 50.36690712176623, 45.96126725807151, 42.62513654993667, 40.36111214616757, 38.18732107561725, 36.84009123857552, 36.317771665276226]","[71.17052137776142, 79.04048345741376, 80.14656830230427, 88.79483971154832, 90.0740254835932, 96.87751285071465, 103.1696204673247, 104.08622015525134, 108.6280693410722, 112.95530540618199, 116.33351339036291, 115.295077792272, 117.53929204066117, 119.2770642775198, 117.74040239851904, 117.8847686031756, 116.26057869652075, 113.96515170629456, 111.25343076837235, 107.50102569160362, 104.41736265520225, 99.5155129996669, 96.24976721984754, 91.95441333861908, 88.37759094668884, 85.21368651903241, 83.21339216369785, 80.65784697660702, 79.8154937436338, 78.96296517596842, 80.19172386641117, 82.37511373874253, 85.37113553796108, 87.06933336001187, 89.41461071248662, 92.1715460412869, 93.40855434876231, 95.1005546068415, 96.12058941898245, 97.84146331290611, 98.0, 98.51780911706997, 99.92356956251085, 101.65826508416706, 104.1210467268492, 106.9929736345608, 109.36984159327012, 107.1728651400136, 111.74559774883166, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.00000000000003, 150.0, 140.21957265272468, 135.8049646629201, 125.92226096046754, 127.18111544996955, 127.93808440280523, 134.77955768355122, 145.68440213073552, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 141.9141859994931, 135.75634441496803, 136.46499932451863, 135.13924899389508, 135.3825053806036, 134.81010278835663, 133.92809930537697, 133.45138799994433, 132.77716868246574, 132.30009080644336, 131.82250303285082, 130.19755200440915, 129.0, 128.74338016306467, 128.5, 128.5, 130.3062987761674, 132.2595584699331, 131.37375860203392, 133.32740015450315, 136.94036531657994, 138.77679919244056, 136.72183845968877, 136.05357246864307, 135.11709605226707, 135.5, 137.34422892271908, 135.4345785242306, 135.72516039011379, 136.4533536775126, 134.5, 131.36528291451995, 130.1219028349916, 128.94067742504532, 127.40618157097092, 123.08455688975187, 118.59348053014077, 111.51837027297759, 105.66959022344929, 96.23671968722874, 89.44414742380279, 83.12422473332343, 76.00002126031495, 70.40280557855596, 67.25525311827978, 64.19112995933759, 61.35931039355945, 58.892398769206096, 56.624064821824, 54.98059171473398, 55.34982856582844, 54.68359590421068, 54.571591338482435, 55.38917512729344, 107.74261207539458, 111.70123622723465, 115.82312500597297, 111.65908052821449, 109.84241931480335, 108.0, 107.70326921282373, 102.99058320757707, 100.85086570690264, 93.31783330608178, 87.96110794815982, 79.88994049468295, 91.55807234240592, 90.2908243648629, 77.61542213689421, 58.859655216822574, 64.5171234816907, 66.13926099916985]",107.91168824543142
10061326,319.13708305358887,3005.0,103,[37 52],"[75.35334079790071, 72.16710572473379, 69.97708530734705, 67.89077313267536, 66.17994676771953, 66.39885643171418, 64.37787703018633, 63.08767198990369, 62.40811032979054, 62.75852088801621, 61.333022495416614, 60.70739158670955, 61.165526735803205, 59.95780559589726, 60.41215800702804, 60.767776916515146, 60.033229926112334, 61.25440471493096, 60.56788342587328, 60.807072497018375, 62.12437114305366, 62.37881324473775, 62.84367873167034, 64.04012838968609, 64.52913061967077, 65.85522289628747, 67.894111027805, 69.29711822975003, 71.49390831224626, 73.04025861378153, 75.37128853727783, 76.97907583997917, 79.34284493822001, 81.7561604588274, 85.10476670818645, 87.64147358706794, 91.76197719597394, 93.84821217892858, 92.16294512972416, 91.0391909286914, 90.28728350536888, 89.05226927195835, 89.37114789815573, 88.44957884886661, 87.04197288581855, 87.18677619736282, 87.38400676764783, 85.60877530993325, 85.66317910674158, 84.54471388107586, 85.142468640186, 84.73418092363266, 83.46564234019242, 83.59325838041858, 84.62073930934937, 82.9256520562521, 83.21047806328554, 84.16651604252061, 82.45156369979486, 82.33652528702831, 82.74806045919198, 82.42058932996964, 82.64565325003612, 83.45110581595964, 82.61723075282971, 82.06113214368533, 82.4425986061434, 81.459113987111, 81.36537955945592, 81.71875454622591, 82.77801814573897, 81.06903934206048, 80.99027209504385, 80.91395807472131, 80.84181403836419, 80.76713944298203, 80.74193060729135, 80.73787128135115, 81.62602276257103, 81.15410244124536, 80.8530711607184, 80.98225248369302, 81.52430820631979, 82.12704929080682, 82.28545750225322, 82.62219408812867, 83.24991291795328, 83.60571020274007, 83.68925878350508, 84.4273778510566, 85.96406506906686, 86.28345613988387, 88.52647077275333, 89.36399891006927, 91.05267401188851, 91.45376639356716, 83.41796382897047, 78.38809514641287, 74.27497735578693, 71.51426109907581, 71.83316672784355, 74.8625535715088, 83.37968761406643, 100.03005832106737, 114.59451740042532, 113.80859294513246, 113.07273291887856, 113.88036093977081, 114.94393642119259, 116.67821048006157, 118.22068228227477, 121.1485171430226, 123.88986421627183, 123.53294066148246, 122.15131175916687, 126.2509110452418, 126.35361128905518, 126.87367608066567, 128.05920200500444]","[79.23217821805646, 89.30285688287563, 97.1600076900451, 104.49179219759614, 113.16503453503266, 112.20462501385585, 116.8175747496683, 120.80920388906988, 123.91436302675199, 123.11924812623099, 127.03661753153848, 126.44484752490058, 125.20582009087045, 125.3065767563795, 125.34355196094926, 123.0, 122.31316937390727, 117.28059180252313, 114.09333301403399, 111.19279115174251, 107.93764194881341, 102.4812339876588, 99.12134687300923, 93.81018422400008, 89.80668347763958, 85.49412493048142, 82.91276687973351, 81.3248050323822, 82.15947021913664, 83.36869859528797, 86.1224234350269, 87.48223113077788, 89.03967945053668, 93.05142044073303, 94.05496994909225, 95.93526208338167, 98.00363120033303, 98.50444642414013, 99.18144880353438, 101.08519912030337, 100.99930131217471, 103.80565182909871, 105.83617071925622, 108.07429879557105, 116.68585782694774, 137.8414778552196, 150.0, 150.0, 136.2273254810725, 131.60690143013554, 131.76371379049576, 147.8773470495629, 150.0, 150.0, 150.0, 132.94812832391483, 128.42379782224435, 127.17033756788761, 127.96372307254416, 128.88222368882384, 144.089704634945, 150.0, 150.0, 150.0, 150.0, 150.0, 145.6988135489583, 138.47482276700896, 133.5, 133.6510565930653, 134.26296064320803, 134.20504702198517, 134.84726774288316, 135.35687033027563, 133.87658046724627, 132.28658593434255, 132.0, 131.6618552749797, 130.7010818808471, 130.0, 129.53510497498846, 127.0, 127.2125389487367, 126.69805846628935, 127.47686794265283, 127.60895009302119, 126.0, 127.8822040693823, 128.2272705618972, 131.17145080516372, 132.3644018532919, 133.0, 132.00763184223334, 130.9130655432359, 132.67030927121385, 130.12938418039613, 130.5343889522796, 128.72451724349187, 126.73335303222808, 126.13274567444611, 123.76768833601182, 119.22311101171977, 117.6830078038997, 114.21055752237918, 108.35880984113271, 101.91890312375428, 94.74062699829997, 86.65185293566861, 78.4522418602527, 71.6424194658097, 66.08041422635738, 60.19507928514054, 53.80013478707174, 47.40949950820593, 41.06020881479134, 40.13016088086451, 109.73333016669753, 124.60868154098964, 130.42252782712285]",107.91168824543144
