time,perimeter,area,overl,location,diameter profile (pixels),Height (pixel intensity),length (pixels)
10061218,247.4385987520218,2564.5,26,[279 188],"[36.01053842365538, 36.0127982831783, 36.01500573182336, 36.01709838824661, 36.01902111610992, 36.91226042008681, 36.4286873589496, 36.02332753498337, 36.02416491550965, 36.024666200798, 36.02482024062047, 36.02443956734675, 36.02375443602195, 36.022740152573384, 36.02141859992461, 36.019819240160174, 36.01797915323268, 36.015943076913274, 36.013763447721885, 36.01150044251486, 36.00922202034609, 36.37619448382854, 36.00492992178391, 36.003091445718326, 36.00158803096821, 36.00052715033016, 36.000024286293694, 36.00020295874343, 36.00119474755569, 36.00425837757993, 36.00780448154669, 37.354576078905254, 36.043503275688266, 36.02705939308183, 36.03693419207911, 36.04884938836993, 36.06300415837105, 36.07960549737338, 36.09886812106566, 36.12101434797093, 36.14627396144908, 36.56932119192328, 36.20708882428633, 36.243139410657975, 37.100718021794954, 37.31987460431386, 36.37566944043165, 36.42419669729685, 36.47398644455847, 37.432641596205315, 36.912114250638474, 36.626095699702184, 37.01035444263577, 36.74766378925337, 36.79689163892405, 37.52087166726475, 37.25666209007284, 37.11663591321343, 37.16918625256327, 38.07045603693674, 37.95445181749216, 37.51231216488135, 37.38964336587225, 37.279699402097954, 38.61533482470914, 38.45442155034779, 38.317611873376926, 37.31726261214034, 38.36515177948019, 38.28561012996927, 38.19561357258959, 38.22760323458439, 38.272813489859644, 38.33305165452956, 37.6931350515342, 37.80366309561141, 37.936324643828655, 38.875399304001874, 38.64698353430039, 38.46996688553011, 38.278451805539476, 37.979494566032486, 38.11990322719661, 39.13238324782628, 38.82465592783583, 38.709755601068295, 39.47413776965073, 39.05934836438169, 39.65651433890784, 37.58264306943631, 33.661151147092994]","[118.70085114608376, 121.10210660518094, 123.06979796449198, 125.81464841020247, 128.75436869847414, 130.96940402102362, 132.7009560906307, 133.9495197699057, 135.36262519581206, 137.32528798637384, 139.68042220299918, 145.00839196777673, 147.33657165524767, 152.51180395256927, 158.43006131983242, 163.47129715027734, 168.19274948947893, 172.4652182544836, 175.78058519329602, 178.14040527917848, 179.54631431543487, 180.0, 180.2484155907211, 180.5, 180.5, 180.08152704037371, 179.1086513020326, 178.1362082620047, 177.5, 176.78992536438486, 176.1592218006958, 175.67352025720132, 174.8755986652352, 174.5, 174.5, 174.22981615219933, 174.0, 174.0, 174.0, 174.35677823108264, 175.3265724826968, 176.5959258675968, 178.54250517139982, 172.59698602343673, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 163.76356919322635, 194.18730061826253, 193.58343096568996, 194.07972559366993, 194.78345945333652, 194.4356221863773, 193.33434702064312, 192.6307351866979, 192.13259888491848, 191.26834892679946, 189.93638279202554, 188.5423170320501, 186.7520767723674, 184.18264683280452, 183.92022282034563, 180.9572620184237, 179.44507143267077, 176.50796208308748, 175.5055849845213, 174.07275594415594, 172.05285647950961, 169.56665752455845, 168.70428274856155, 167.05499600531718, 165.73473532491147, 164.19357890279358, 162.98259091019344, 162.06151411460286, 160.79932908877458, 160.30222562228118, 159.35922822869304, 159.01588350144885, 159.0, 157.84091390210497, 157.60092883490472, 157.0, 156.83241067410873, 156.5394539819307, 153.0, 152.64321818424676]",87.38477631085024
10061230,291.2792184352875,2942.0,26,[271 186],"[37.44503556828878, 38.090522094257345, 38.07831971583192, 37.16068169372575, 37.10069145304763, 37.05590994741357, 37.0250521136629, 37.006858907960556, 37.00010182324277, 37.00358685001286, 37.016157888916, 37.608950377776054, 37.064139953424046, 37.11273701759757, 37.152689890981634, 37.8203231411252, 37.26225456408742, 37.33145493175407, 38.299278330596955, 38.03323640052264, 38.06034097989928, 37.64271330478515, 37.57259489707162, 37.61581627913175, 37.67205368855731, 38.707128899676036, 38.62354506454594, 39.33031935309968, 39.04891741398812, 38.829466358335914, 38.667387811414045, 38.84887395219074, 38.77549095007684, 38.729611669733416, 38.70974125694538, 37.817644635620525, 37.79999062943408, 37.777874614444265, 37.75149208812013, 37.72107928936798, 37.671735920068876, 37.63281610786301, 37.59098351690639, 37.928169815818876, 38.44627619144964, 37.45242005148157, 37.38317601360088, 37.33395789640265, 37.28526793412318, 37.7873175660889, 37.19231029532037, 37.524853862189424, 37.110417672407166, 37.44275291261905, 37.31191006382548, 37.015963086715445, 37.00387619016372, 37.00000009958211, 37.00376734521325, 37.01462436881796, 37.032032053974774, 37.05546615901157, 37.08441765767332, 37.11839299322422, 37.15691425211505, 37.32902433866058, 37.63736048125223, 37.29521070818829, 37.36981334508296, 38.13061007471034, 38.001742078881534, 37.54154302003004, 38.59488567784765, 38.277910830234454, 37.99748493792963, 37.81058047596932, 38.790897017151266, 38.554368617556676, 39.10709574643927, 38.61892946720956, 38.35004875642767, 39.64100974904753, 39.26374047046218, 38.92462611001622, 39.376265007638445, 38.31634724399117, 38.24707130259513, 38.44916882491067, 38.60058731995461, 37.754819905996946, 38.122768871459336, 37.37373504176804, 37.139248300094906, 37.03035806541729, 37.02355286445423, 37.17641075276907, 37.5803782524246, 38.81150134355477, 40.87263438615225, 42.53946430921636, 41.67117386985205, 38.9013849242354, 36.396663488560066, 34.84809159194467, 33.29987450996545, 32.54165032626044, 31.113085622892836, 31.841243274437414, 49.37260556214885, 56.03821127691753, 63.3494749449911]","[63.8134378223577, 101.63152681012964, 115.24277544587231, 120.43387483581154, 138.6108111505689, 150.0, 150.0, 150.0, 150.0, 147.44606281482012, 137.6279780478588, 138.55332404541144, 141.32411338797203, 132.9459949309437, 134.11598609311224, 135.05967054347872, 135.7514573625353, 136.84331062468215, 140.17410859767648, 140.0, 139.44998906872075, 138.74733258229827, 138.5, 138.71366923780008, 146.0076943885703, 148.9888239191235, 152.37766254501884, 156.5369430648396, 161.16244932580517, 170.23476593296158, 172.93849636238969, 175.39930830431658, 176.0, 176.0, 176.84134518225014, 175.45007492914996, 174.32325011246238, 172.69543059976286, 171.0608554330649, 173.10064018509277, 171.3360647721164, 170.25360036758252, 168.92901057806517, 167.8215753716799, 170.52558245817664, 169.78005394084244, 169.89985964125538, 169.6214215202807, 169.8555585203614, 156.76808871019006, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 161.7446705650347, 182.38308460927004, 193.49428686375873, 194.22050913919733, 194.6944403935331, 195.16915007971613, 195.6448295643986, 196.0, 195.5, 195.5, 195.24989619570084, 195.2014784992054, 194.0, 193.72106641352698, 192.75362971492444, 191.80676001081991, 190.58635670329733, 189.61415728819128, 188.63772224328528, 187.48570958982054, 186.9850682686241, 185.5048532650161, 184.01580125437442, 182.7880789137316, 181.06279127560242, 181.0669615861672, 179.57306714299574, 177.76619323618314, 176.0526353914201, 174.62239535331656, 173.38270709506136, 171.91617039343856, 170.10117457742894, 169.0, 168.2651132241931, 168.0, 167.11096032896444, 166.62890674739168, 166.5, 166.5, 166.5, 166.13209186638304, 165.76450910456163, 163.92720136166986, 162.3130185111716, 159.31033664292246, 150.86254792133496, 146.75112776635393, 150.0, 150.0, 150.0, 150.0, 163.94164034388132, 164.39686172874906, 158.38986940770525]",102.11269837220809
10061241,234.40916121006012,2535.5,59,[230 193],"[36.44597165148005, 36.41826288693498, 36.4880037877202, 36.63821566983681, 36.94759879781253, 37.58495084133975, 37.11587502856807, 36.27475047799187, 36.25441288972653, 36.23503954646243, 36.21660864940449, 36.19909854548512, 36.46104465779831, 37.12513753285176, 36.14596284497188, 36.591955789157424, 36.11936851167445, 36.10726018958471, 36.09591713708411, 36.08114274654868, 36.07156415852778, 36.06268250692278, 36.05447820218846, 36.046931853061096, 36.04002426953403, 36.03373646568029, 36.02804966232482, 36.02294528956886, 36.01840498916933, 36.01291175891063, 36.009658890989485, 36.00690904068651, 36.004644808913184, 36.00284901872422, 36.00150471683655, 36.00059517502598, 36.74055782803654, 36.00001459158227, 36.00054340397139, 36.00179953013141, 36.00310289303762, 36.004732891482774, 36.007566697925256, 36.00992418103553, 36.012558281518096, 36.01545486390658, 36.01997237279345, 36.02344580197902, 36.027135211559596, 36.03102749704294, 36.03510978728664, 36.65520942383099, 36.043794062846516, 36.04837147033105, 36.053089726172935, 36.05793712146931, 36.06290217847067, 36.06797365003155, 36.073140519016135, 36.078391997661434, 36.08371752690043, 36.08910677564782, 36.096817516042606, 36.10231939586338, 36.10785143017045, 36.113404284857275, 36.11896884938129, 36.124536235863715, 37.02086396323708, 36.65329960834441, 36.3096039772137, 36.14666398492212, 36.15211989073684, 36.157529914346064, 36.162886699775186, 36.168183105906586, 36.173412205453886, 36.17856728393035, 36.18364183861282, 36.18862957750234, 36.193524418283104, 36.198320487280625, 36.20301211842053, 36.207593852188886, 36.21387562933981, 36.21817079108515, 36.22233895798789, 36.22637557000458, 36.230276268095935, 36.23403689322116, 36.237653485340594, 36.24050779876807, 36.241970850298244, 36.24203148958232, 36.556639258408055, 36.69693388670875, 36.87169695650335, 37.08456525306782, 36.218580316972485, 36.21015684142084, 36.20061211436719, 36.190033869942084, 37.03785838480116, 36.1608690976971, 36.14759119366491, 36.13381588830802, 36.11969965991099, 36.10541249279129, 36.09113817844761, 36.49457307194746, 36.057961157218514, 36.56871080987012, 36.03365751823145, 36.02326645931868, 36.01441783188116, 36.007408514967565, 36.002552180338775, 36.00017965527008, 36.00063927417727, 36.004297214358544, 36.011537810788035, 36.02276384455302, 36.285671817262916, 36.670822219649324, 36.084664182882214, 36.11623682740256, 36.96942024364763, 36.19875002424618, 36.250744364510965, 36.3378842422258, 36.73517291344211, 36.4912643902316, 37.37058251219854, 37.05624248189637, 37.80972161274962, 37.41242522015109, 37.586665682561836, 37.265566688628994, 37.54680067422227, 37.56126434715979, 38.5496034956913, 38.04511700113563, 37.97068354179209, 37.93255766635119, 37.93255293575595, 38.06975976322437, 38.17413073690835, 38.31921310351137, 38.83574333024502, 38.03316629627698, 38.99097411083922, 37.043183945150886, 36.87863928756205, 36.653718411249216, 37.00964561303603, 36.29294955813399, 36.17190158847833, 36.07768909280553, 36.01787939131026, 36.00750422176853, 36.05834978363098, 36.14686181348225, 36.55437484016952, 36.458941184257256, 36.74732788148785, 36.83516424254877, 38.005923810051094, 38.45694845733415, 37.49695558160815, 38.44565705928832, 38.14595036807832, 37.79544351058905, 37.867773727989615, 38.24129820003159, 35.90503496117215, 35.41403314876953, 37.72071895840247, 36.4891410140942, 46.384219531120706, 47.21944041208839, 47.21928622373742]","[129.14815857231838, 121.42080462035881, 117.17599061445003, 120.16715825492508, 108.78534024153369, 107.43294226443592, 114.10571095790297, 120.49983693791476, 135.08988835009495, 141.76861561780876, 148.43931977372927, 155.10254893225223, 161.57900366480442, 167.21398396649525, 173.65153367240106, 176.75978821466146, 179.4182873310874, 181.47113432249145, 183.15079411250602, 191.53049561020293, 192.4797526476098, 193.0, 193.18858292463875, 193.66271685667542, 194.0, 194.0, 194.16911730899793, 195.0, 195.0, 195.0, 194.82374746207273, 194.80041888734024, 195.62424841416012, 196.19677740892809, 197.21794650537097, 198.5940932041837, 199.56479725994427, 200.98896799587988, 201.83601118552932, 203.18020795945196, 204.13124317713513, 205.08275952572257, 206.89391455207928, 208.3230818043407, 209.3353937297005, 210.28931460283985, 211.56969648334666, 212.0947959704892, 213.02542108861496, 211.11286434288002, 214.46492492299035, 214.96149451614474, 215.44087576167158, 216.34122347584122, 216.5, 216.88116743171466, 208.66757468623823, 207.87508950472997, 207.20711810879394, 206.45258448364078, 205.74506510502826, 205.02687021984008, 203.663235181106, 202.69802232581523, 202.11599977714909, 201.6325837546768, 201.14876382442765, 201.0, 200.6799171386083, 200.5, 160.50759286532002, 159.5376750260927, 159.0, 158.79768374931132, 158.5, 158.67509393025003, 159.0, 159.14946221966704, 159.5, 159.625382901266, 160.22782434811916, 176.55283840820059, 179.04899024230502, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 160.9150590472262, 206.74862672323675, 203.11004342175178, 198.50199358200598, 192.59296146830454, 182.71252619358566, 179.4166747000653, 177.44896509000625, 175.4822838503289, 173.26224718468643, 174.86500417882635, 175.6740679276647, 176.0, 175.64125847246743, 175.15161155333925, 174.6626943962213, 174.5, 174.18730410651858, 173.70094079784394, 172.93105147592703, 171.02765876048602, 170.5, 169.68170118695633, 169.5, 169.12286723370266, 169.0, 168.65813686444147, 168.82310715349993, 169.0, 169.0, 169.26316229204556, 169.98453624255157, 171.38446092501783, 173.09954518563336, 174.71452402982453, 176.31529183862494, 177.5483851972736, 179.14178990686116, 180.13683278722175, 181.48100866273398, 182.69625640705488, 183.52662795129186, 184.65690103659364, 185.0, 185.04702781690176, 185.5, 185.5, 185.3089348536436, 185.0, 183.74820126230873, 183.249496493269, 182.49560827535322, 179.69302717678445, 179.19033483070456, 178.37460841539075, 176.3455418004624, 175.6369694107865, 174.77781642365488, 173.09224322220808, 171.9048474458117, 170.22098686584172, 168.51741641128973, 167.32436089671776, 165.3020399692165, 164.26332340785328, 163.0071218104614, 161.5891913187396, 160.75138631835082, 159.4972904288985, 159.0, 159.0, 158.60481754826782, 158.1459784306827, 156.466573308423, 155.61644601784315, 155.17091176023393, 154.50043555816126, 153.927075338326, 151.61212941228243, 149.8869838874518, 148.7881930059185, 147.57427806980326, 149.13096788334764, 150.0, 150.0, 145.44585125429492, 138.5192840905483, 137.62564139777785, 135.4124260005693, 156.42072010629482, 154.66006999736152, 152.47172031078486]",172.35533905932738
10061303,206.5096664428711,2090.0,28,[252 190],"[39.01041399308494, 39.001435617786896, 39.00057215040506, 39.0069506443372, 39.39755367024897, 39.038093555139596, 39.66970799656444, 39.0885078184085, 39.11910235631187, 39.85601910015197, 39.881870043323445, 39.23995874387906, 39.29352307225456, 39.33139284314424, 39.38392454323561, 39.41976349285768, 39.45408121572525, 40.359064761416846, 40.29229579482889, 41.24563965552189, 40.83015620033726, 40.4882363949381, 40.212561550784024, 40.20960478055407, 40.25280297285296, 40.3158211177135, 40.02936194829496, 39.93016264768681, 39.85601455038237, 39.86897006789652, 40.03837381806125, 39.60737762818739, 39.58797101635386, 39.565617001350894, 39.52936710777935, 39.55565816795214, 39.738241194655764, 40.42253152884351, 40.06417169546975, 40.31871148278764, 39.31665808810026, 39.280009574761706, 39.24353595059593, 39.5629929644096, 40.06614511759329, 39.13985603697701, 39.108893445998746, 39.34858379965724, 39.055636416987326, 39.03450888486839, 39.017860438930626, 39.00632360770797, 39.00054836038034, 39.00120066839411, 39.00896091596372, 39.02452215587079, 40.076901746086236, 39.081871609371554, 39.749686230494945, 39.200438389774234, 39.26558054977445, 39.34063348206733, 40.67973251331915, 39.52247950324389, 39.63053109054695, 40.031759346110604, 39.946210155810334, 40.72212404442175, 40.75787078611306, 40.92287125751113, 40.75892743313837, 42.10394982012712, 41.261397331954356, 43.16353742714195, 42.50306623081802, 43.34147077445505, 43.20090630642713, 43.26284182705293, 42.413652359763184, 41.74338432549335, 42.27486436961863, 41.05519083427943, 41.15663270608444, 40.89520701778456, 40.71434323635536, 39.522161308359564, 39.651111329071085, 39.09536064552529, 39.00290019769726, 39.01318433629301, 39.75543402287878, 39.32846743123996, 39.41705145458932, 39.631779593902884, 39.89095986510862, 40.802204972458014, 42.515389913309846, 42.81211325769971, 43.77505954161043, 43.97828845154092, 41.27212483306466, 38.61554561333357, 35.83084890884388, 34.12300776435574, 33.96340928852783, 34.70782541079932, 36.476164208349346, 58.47922538539614, 122.48550642397713, 73.31255873218795, 93.47112845286365, 126.61490930137167, 124.33460419419379, 122.78702183867989]","[148.14605173683404, 150.3226691076, 151.95310025592238, 153.31386600145458, 154.4510874385734, 155.54203361415728, 156.91062050350678, 158.0942840083128, 158.65910527340483, 160.78205006972476, 160.6666314646474, 161.0, 163.95583231324952, 164.5, 164.85100350088547, 165.31923181017916, 165.5, 165.23935613290774, 168.0, 168.9606902248526, 170.97276836032327, 173.6212850303156, 176.97655121916858, 180.79974916291815, 184.8338298997104, 192.140967417044, 196.6219876934943, 198.50206713241897, 199.46432961383238, 200.0, 201.89512968174287, 201.21269579105717, 200.73013612250517, 200.24773614924902, 199.5660554760769, 200.5, 199.86313011309312, 199.5, 198.93237295741918, 198.5, 198.05416517021152, 197.1481274129793, 178.3571420902209, 166.10973924540053, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 170.34597347170407, 200.8648976314903, 202.15546734906246, 203.79186194736047, 204.7578031406146, 205.72613709332464, 206.6975044729935, 207.67260842328244, 208.77951291395956, 209.0, 209.2671799740994, 209.76413848309016, 209.5, 209.5, 209.677133905154, 210.0, 209.61946100088, 208.5, 208.24138940073988, 207.4200059882012, 206.8021053817269, 205.5, 204.89061904493818, 204.1947587758668, 202.88231970596124, 202.17857849331617, 200.25932341629084, 199.5, 199.28319665429365, 196.77815808784658, 196.0977281898861, 194.07234739786122, 191.5, 191.27145516225778, 189.51739506905633, 188.7936418238627, 188.33058074630412, 184.90129821098844, 184.50000000000003, 184.21793426663334, 184.2775142166309, 186.0, 186.0, 186.0, 186.0, 184.8936391256289, 183.8619980682211, 182.86591695943756, 181.90143688595802, 175.77832874883262, 170.93590108254938, 164.73711853324008, 150.0, 150.0, 150.0, 150.0, 150.00000000000003, 150.0, 150.0, 185.0, 185.0, 182.22329981619308, 177.22352209155162, 169.53997684716498]",95.21320343559643
10061315,337.4802289009094,4538.0,26,[247 187],"[39.94884388758192, 39.82123325737628, 39.65189664358228, 39.423654092415646, 40.344873240627564, 39.20478699139478, 39.26819260656161, 39.07192926373023, 39.03288285911996, 39.009610225819394, 39.000334458428114, 39.63599248627223, 39.02545838047641, 39.06457898589166, 39.56098752834613, 39.14123436684018, 39.18610013546431, 39.23376129428238, 39.477060210384096, 40.16730896044618, 39.66100402021319, 39.43212648775749, 39.498114426148135, 40.34805168351522, 40.78802272966465, 40.20909644080774, 39.74089106737563, 39.67748096043886, 39.699866814545466, 39.717012498774864, 40.095823493444605, 40.03359975156621, 40.001446647272616, 39.99759940802984, 40.22426411219409, 40.42265054604978, 39.76284753002467, 40.23589635196574, 40.820208195474095, 40.23768035776749, 40.47894218177963, 39.44975544502262, 39.531225310345256, 39.35193873503464, 39.301893281101414, 39.23200345208477, 39.184543045308445, 39.13990788624103, 39.09924150228428, 39.06376726109006, 39.357675117061476, 39.0136897607262, 39.00193352243089, 39.00106152517439, 39.01269139863956, 39.21209808516235, 39.07821714656909, 39.12903384369184, 39.62458684773259, 39.286242273734715, 40.34573365461584, 39.43967558828791, 40.21523450579443, 40.47817002953926, 39.68070816658408, 39.758614208310114, 39.83336978262607, 40.162607716396806, 40.817268334586586, 40.51054725780636, 40.26758374483167, 40.14504857985087, 40.180023271265696, 40.206785025266505, 41.006128748241366, 40.961845767897884, 40.98183301728723, 40.21476677093199, 40.19135684511624, 40.159773896647856, 40.66946447132389, 40.852737902698934, 39.99606159701787, 40.08630656765185, 40.36231737284571, 40.73778433053876, 40.291721931998794, 40.0578656296073, 41.01031910418902, 40.41004085102848, 39.452989590849285, 39.37383965777221, 39.81774948349374, 39.6287855906895, 39.19502481361639, 39.4587850139853, 39.10408996549173, 39.78029204461696, 39.03053852546478, 39.01962872879396, 39.0162504886794, 39.02784560548059, 39.0766045661481, 39.73810978007856, 39.55494980386041, 41.20383609705548, 39.69552025318423, 52.347969444246374, 53.056546775287906, 53.841082610836935]","[117.43212153285039, 121.97958693683363, 125.3755798844146, 128.2334844870439, 130.5441240375929, 132.1896118766762, 133.98134789296972, 135.9829449424983, 137.62340669734422, 138.65373364100185, 139.54929560934144, 140.21779029137235, 141.84642039109676, 143.16779489187087, 143.80314357066106, 144.27430478846696, 145.24250453188841, 146.0, 146.0, 146.17981782641812, 146.5, 146.5, 148.0, 148.4729331786501, 149.89097491335767, 152.26393149601765, 155.39979131840147, 159.02351928277835, 165.3665271145901, 170.1196796041625, 175.40894003131774, 178.32360479889257, 180.27019205625786, 185.454423159751, 186.5, 185.82344300045293, 185.71106398915487, 184.46839342628172, 183.9532660546838, 185.09147574928653, 184.20955652689943, 183.23972414760365, 182.27377378553285, 181.3119673524443, 180.6772518513188, 180.67600345945434, 167.8835903344948, 153.16465028246336, 150.0, 150.0, 150.0, 150.0, 158.1027779177184, 172.66079163441304, 181.80151907452677, 183.68003354432605, 185.98280967084935, 189.0601238239865, 192.40911365868112, 194.5313457274604, 196.44431339175657, 196.4242005112516, 197.61783353982662, 198.09718958735434, 198.6588749254522, 199.5644951470438, 199.9946955680202, 198.63628285633365, 199.0, 199.0, 197.3429377809137, 197.41918254951713, 197.47040654904117, 196.00257442342826, 195.63235545419585, 192.9935940127021, 192.47331351777478, 191.4740023041872, 191.0, 188.22180258710864, 186.80710378406113, 186.15453092897917, 184.62729243697964, 181.12838839399325, 180.13334291664128, 178.71472700020774, 177.6594186144344, 175.54351452840748, 175.13617522987653, 174.5625050110559, 173.5, 173.27777868097462, 172.5, 171.53991014872554, 170.06834472352946, 170.83147035986806, 170.5, 170.5, 171.20220724688974, 171.71759089257617, 172.0, 172.0, 172.0, 172.0, 171.71026416298264, 171.15011466569038, 171.00593022452483, 170.84998274185682, 169.5863382763802, 167.67571620965]",117.94112549695429
10061326,176.85281229019165,1380.0,28,[232 186],"[40.5404521042635, 38.769093731658, 39.49946144918654, 38.482172004205225, 38.36825028790331, 39.26267949915173, 38.193080902737954, 38.85311972948574, 38.063104285854266, 38.031601691764834, 38.011449607756035, 38.001514764647226, 38.0007007185107, 38.13395991863135, 38.633642860466495, 38.0426185630339, 38.08000079388499, 39.19907125346584, 38.145674258348635, 38.18236786761131, 38.22064645436538, 39.199427977438546, 38.39822635730239, 39.115483221855825, 38.726696739833585, 38.413516141582406, 38.448554207634515, 38.494174469535665, 39.46770948001402, 39.29494337002916, 39.15898988640622, 39.886128431729745, 39.646414044750564, 38.62049079788213, 38.626018415058766, 38.62741987099015, 38.62468014422393, 38.617823927544876, 38.601233863721724, 38.58478321662979, 38.58393918386848, 38.669097864801564, 38.77871465457818, 38.47067588656981, 38.43700897304831, 38.40120691945686, 38.72171159669184, 38.32497138354426, 38.285536877231365, 38.32982076917041, 38.851284545255474, 38.16892287260887, 38.13281992748981, 38.099322590518, 38.06923558619853, 38.03417424297251, 38.01592759470906, 38.00419856553061, 38.00000040777161, 38.00439117922716, 38.017812660007614, 38.03940133437389, 38.06830722550494, 38.120078727195576, 38.73396074665616, 38.772237347204076, 38.262823551960835, 38.317693636768965, 39.01083446370138, 38.434276713943824, 38.49473104727811, 39.37260923867975, 39.474031119351096, 38.865070379858636, 38.84947951914431, 38.81989332003051, 39.67496387576108, 39.51269576257919, 40.20038928911109, 39.76941989147042, 39.08882773200969, 39.942581045116725, 40.76966712042247, 40.52967137538317, 39.229268598832206, 40.250736164190144, 40.18298432764276, 40.24281570907887, 40.2514245011882, 40.27732738954454, 40.122111024427326, 40.48642342073116, 41.0605477338951, 40.096807104750965, 39.55215184884611, 39.08900251950817, 38.603570471719124, 38.40247767226424, 38.26746767865846, 38.148626363521544, 38.03003531885379, 38.00001419024932, 38.502365320084564, 38.22798158882077, 39.137393964473276, 39.90237854267298, 39.96224998133074, 41.482885615148334, 41.13043237387691, 42.54182150625488, 42.67888071061081, 41.25829052036236, 38.785175937099936, 37.153676613387816, 35.76384178529656, 36.48396940067725, 50.286020534133606, 53.80613055734146, 58.760577263307624]","[101.95688548211535, 106.7920146678756, 110.73033925494748, 114.09493446446115, 116.99043293441154, 119.63647028583995, 121.76356786726924, 124.17710069845731, 126.94384993148918, 128.37944933438098, 130.08309419276384, 131.49579060233654, 132.22487562632728, 132.90406049483036, 133.67963190193973, 134.31582441599392, 135.33582736879836, 135.81646650352076, 137.75446753173404, 138.23232685814347, 138.7117896553991, 139.19286711699877, 139.67554285679392, 140.0, 140.0, 140.0, 139.87896459702665, 141.4656323266931, 142.44287991299387, 144.05578881073856, 146.7107472520038, 150.04520773877763, 154.16534646254803, 162.03312983504347, 165.75873969501475, 168.87172838134666, 171.33119231012518, 172.7578027587335, 175.72541006580337, 175.2923341912965, 174.65578205758487, 173.83267147286767, 172.85602855965973, 171.86289991629454, 173.58081551909365, 172.28310323722462, 171.60939832199398, 170.752019070088, 169.7885650276054, 156.4067416159672, 150.0, 150.0, 150.0, 150.0, 150.0, 156.7033057255805, 165.72612081567553, 169.6036816011032, 171.10202111370575, 173.24487712782505, 175.39015635909442, 177.678820035321, 180.52626885420878, 183.87503093521502, 185.78328066649414, 184.98575339750698, 186.88070008641665, 188.39146094647185, 189.5195400072551, 190.80514344248166, 191.49999999999997, 191.61724513638214, 190.68353185915277, 190.77753538272233, 190.5, 190.5, 190.34204222249963, 189.1061189664692, 188.59906603514898, 188.26454155354804, 186.5688298725301, 185.7900956899002, 183.83891007476507, 182.92510970357353, 181.94950851940138, 179.57465643371071, 178.22607426480516, 176.4874067812059, 175.00172496004927, 172.1064379315627, 170.3128124704352, 169.22487483757098, 168.24866302289047, 166.0066683893396, 165.57777059045358, 165.10428136917366, 164.27731301594196, 163.2406232995816, 162.5, 162.5, 162.9629059934362, 163.0, 163.76868910305404, 163.92782121092756, 164.35565940938022, 163.0, 162.49076842980014, 161.39313165733645, 159.97979094776971, 158.12793057191647, 155.8941427184102, 150.9261370306495, 146.00006566213986, 148.61380059440745, 149.76097630348193, 150.0, 165.00766515014658, 164.65770923112836, 161.10801606000786]",119.698484809835
