time,perimeter,area,overl,location,diameter profile (pixels),Height (pixel intensity),length (pixels)
10061218,305.88939011096954,3819.5,159,[ 90 163],"[53.33436715726749, 55.472863425006224, 58.35661571572089, 60.29374898942196, 62.448326712922466, 64.23328885030094, 67.15820513301688, 68.9559426001211, 70.22118381575693, 72.26642071763897, 75.87194652280498, 77.17628565527374, 79.07166309557512, 81.16905632998925, 83.19742394429355, 85.22955551729618, 87.31719515069652, 89.35555974057627, 92.16193701476834, 93.49272126805795, 96.29803574972291, 99.05935358369807, 101.85882010219271, 103.95273735605488, 106.77520984065978, 109.60117994298321, 111.73491780431907, 113.87338659382597, 116.72742811706615, 119.5912660762558, 121.75860024206828, 124.6457955752531, 126.88206951258861, 126.2919063537793, 124.94112260584475, 124.3072450648396, 123.74196589037396, 122.38974546586246, 121.83654151937083, 121.29208146374802, 119.90934633134107, 119.24116123024366, 119.43345594435186, 118.74534317639922, 118.84660729744661, 118.05334234596842, 117.20798710694696, 115.22405709518063, 111.43148043981014, 109.25724014948327, 106.39108597337892, 102.66832821248893, 99.7517580327394, 96.81764270616421, 94.58009132240471, 91.64640329831644, 88.81034021837615, 85.82001649502179, 82.89644580394017, 79.99127509998272, 77.82143021647144, 74.9658312434212, 72.12611177821486, 68.5951657414873, 65.77509102294772, 63.69122847951982, 61.6281579515826, 58.82126110049018, 56.79458605665146, 54.806728660943584, 52.87752971839052, 50.79334980426173, 50.34556330418385, 50.9337928567024, 49.524648785196746, 51.114707884688656, 52.744187412507785, 56.32637121985019, 73.32416301303533]","[142.90523678407223, 144.6017797006257, 147.5, 147.86062582515268, 148.88113733234246, 147.98273442663904, 150.76173336883073, 151.81971202531406, 150.92024260951524, 151.856725885156, 152.81003932521745, 153.42780294999497, 151.9589180319725, 151.800901241071, 151.85454852866314, 151.81130819278667, 150.9376459213373, 150.85086813707525, 149.5, 151.7707342401365, 155.4405707349667, 159.33039017235478, 163.1768410372158, 168.87196039863707, 171.15625148166973, 172.0325947608478, 171.39607389151442, 172.0504598149691, 174.5369504454858, 176.5281473959826, 175.79477662835572, 172.18617704091122, 150.0, 150.0, 150.0, 150.0, 149.99999999999997, 150.95002360366, 172.98003292624253, 171.6031112656721, 167.9459033266494, 166.86914509025902, 164.91685115888697, 163.29778416004132, 164.6315620181664, 162.19923506824256, 158.45865426684094, 157.1140609629581, 156.04898586949113, 156.9241719194555, 158.8653323359119, 156.49289471390097, 154.16174993230504, 151.29768301607376, 151.0, 149.98907065653205, 148.00000351065256, 147.76747589322102, 148.0, 148.19626029397168, 148.0, 146.49612318185666, 145.331843526839, 148.34754133903536, 149.53304095454692, 150.07409818463339, 150.0, 150.0, 150.00000000000003, 151.69360549948254, 153.77323056718362, 154.666666935845, 155.0, 155.0, 154.68216707961315, 152.9265073589953, 154.88148167894346, 151.9755752792281, 150.21601417869567]",89.36753236814714
10061230,310.71781718730927,3874.5,166,[ 87 161],"[48.04160997341286, 49.21128624398609, 52.1224442893338, 53.320645093799826, 55.27280209419904, 58.00575407827803, 60.099308257683845, 62.81383493414195, 64.96198348112327, 67.83893971957363, 69.75211573113961, 71.82910536227259, 74.55172743955363, 76.67104022659731, 78.74841905958036, 80.86042756476667, 83.60316334380528, 85.68916694821291, 87.8005101597573, 90.61505477039964, 92.66943086415674, 94.78477543103799, 96.89051424825655, 100.41584847027553, 102.53137106988612, 105.35824390525318, 108.19221869132075, 111.02020456564853, 113.87406694858113, 116.71353023444212, 118.14715884565105, 120.97691210329857, 123.86313208845945, 126.69425990055808, 128.15710946808213, 128.22461239499938, 127.5437281840281, 127.6169675156393, 126.17149093070674, 126.24337375689275, 125.5491523281326, 125.5994039829051, 125.67068439950268, 124.96560887727622, 125.03252716140047, 124.31656702488607, 122.16055411505475, 119.34728809797473, 116.52737094117792, 115.12387902856477, 112.29278218852674, 109.45497456923493, 106.62401417416724, 103.81303740599603, 102.43404041463059, 99.65851823708513, 98.30733596793695, 96.21998777897011, 92.66629856729753, 90.59385692765994, 89.30471351763916, 87.44850119810575, 85.28729890780883, 82.54583046633533, 80.56755132501362, 79.38074428644009, 77.4507877431308, 74.59798800148376, 72.68911698657807, 71.59165685971082, 69.72711383980598, 67.8785459488027, 66.12803922543918, 64.40256209523326, 62.70374470415906, 60.47802133452522, 59.493319724459795, 57.25969980147314, 56.31526616804509, 55.42025418014929, 53.07375388072005, 52.10670238111525, 52.20828959882769, 50.976362840960405, 52.58606466564356, 57.78097896785799, 65.85174967180387, 94.09623261822937, 102.80330213344287, 33.73807075891287, 107.72091805610734, 116.8893414092732, 126.25607637285101, 131.69684106332022, 124.1745581427073, 117.95798522105567, 114.81787888414189, 108.27089487811261, 106.11814691150302, 102.11314250986823, 101.13614458356577, 101.11863980550864]","[131.1117727680303, 133.4129061810855, 137.15902688137535, 138.69138847423503, 140.03842744438242, 141.99122769852758, 141.37216844455457, 143.60648231730858, 145.01556843639264, 147.88424108806018, 147.9504038536911, 149.8026072137543, 149.2551361633384, 149.056735759326, 149.72033551386556, 149.93418441096264, 150.76232863561904, 148.24540749943276, 148.18056019857846, 147.732549104844, 149.5, 151.5621199014457, 154.33088348248296, 158.42699812967012, 163.33265833005663, 168.52838659811223, 173.81675152777478, 173.03359423970082, 173.92910650013164, 174.8953421736549, 176.7434663674415, 179.35534703806906, 178.73460661698894, 152.0110369569869, 150.0, 150.0, 150.0, 150.0, 150.0, 165.46500873800568, 171.17589739827952, 169.73787823238692, 166.31582993862378, 164.82605715085958, 162.9292795075318, 162.28841284890655, 162.5867835857318, 160.65454433740058, 157.49097562012957, 156.70155285667235, 156.33053284506957, 158.3435190540753, 160.79103553255146, 158.7126483577725, 153.86174480569423, 150.7892118196159, 150.0, 150.0, 150.0, 150.86982412562855, 150.18051583904924, 153.95551332452504, 153.88552650039202, 154.05705234755877, 155.97191212825604, 156.31482992249835, 156.07189257679812, 156.98531645245885, 152.6853854952653, 149.28921274313393, 150.66059952292775, 150.0, 151.49065379451173, 155.6762591036758, 155.74476983545634, 151.080976471083, 150.0, 151.46801775449936, 150.7950584359865, 151.09462117515596, 146.4861542877433, 141.14867621321105, 142.28037277652496, 135.05727582156197, 131.34876857388213, 125.81083679463296, 120.8673602504752, 116.27203202580768, 113.67607104152253, 114.57076291434421, 150.0, 150.0, 150.0, 152.42404929311184, 154.05752995027126, 154.654826089424, 149.089562701273, 143.32279929847178, 134.14386956067173, 134.27212721718092, 129.5550737097709, 138.65598062391834]",89.95331880577405
10061241,297.2792184352875,4208.0,180,[ 80 165],"[97.30873584164414, 92.50170816796732, 93.80509469394552, 97.8554398292616, 101.41516959238513, 107.9360624839543, 111.60409163568623, 118.23977449193376, 125.1640880541157, 129.46645426225908, 127.51328706526769, 124.22774229048892, 121.50737935093301, 119.6900544546051, 118.61236572183714, 118.48679128353464, 122.8099497704184, 131.97002390468782, 87.4174100464911, 56.89212003845687, 61.54752225462181, 62.24578082692073, 65.3945463689124, 69.7328296685297, 73.08478117629546, 77.13425529231952, 80.39531318363461, 82.56213986981075, 85.39104245940817, 87.08516095880694, 87.18795511515435, 88.97156927264712, 90.0411339767129, 91.76469265566104, 93.71353898334257, 94.96299148169663, 96.93630857234658, 99.71205475356368, 102.54670995490127, 104.69911556985825, 107.59395147771633, 110.60060196473016, 113.53777400191962, 117.25467513345124, 118.78967252657463, 119.78533429412579, 118.48918509582072, 117.88028917864762, 117.31711875232222, 116.69370292190555, 115.96351839311419, 116.93340591735821, 116.12818028157221, 116.1102031143954, 116.87891099615912, 116.77816368252462, 116.58622889790114, 117.18251639519575, 117.81419755661403, 118.36176187775578, 119.75506436489502, 120.35746318642288, 120.9860102554943, 119.40617327042352, 116.56776522138654, 113.61185561913047, 110.8159076913732, 107.90571853792207, 105.8010908473354, 102.92157883158839, 100.05726681924082, 97.98554540415775, 95.14773973731397, 92.98574101361048, 90.13925745460413, 87.32949767177118, 86.00673471224857, 83.15295970826898, 81.86847212838394, 79.01197793710685, 76.25308952516718, 74.30498980311314, 71.34669690938034, 69.30759496846255, 66.50954891576299, 63.79285762189761, 62.49106814770079, 60.56112077996171, 56.85516214302133, 54.936392157225576, 54.84618772022162, 51.94988794112592, 52.897863759161865, 52.73124756031747, 53.5492718303869, 57.45364760995517, 62.319183117519216, 70.3901473305831, 76.27056770597633, 77.2724870751024, 68.480456604809, 49.25560869324596, 38.60454847805425, 106.98261264101959, 110.09030521000899, 113.81056117528514, 122.32232431065957, 130.1621223236719, 131.03768754933654, 122.28031506787148, 114.30138064061522, 110.75984872980317, 107.95892373452298, 104.18285179905705, 103.21023415931681, 103.0268252725763]","[91.27349873137261, 97.05972597480206, 107.2502207661196, 112.78254254465693, 147.1147621504284, 150.0, 150.0, 129.54559261806503, 128.7282998280452, 128.29156058490514, 128.03819730271738, 127.61028201474761, 126.99646019878841, 124.98476385936577, 123.34436845016575, 121.64242393615018, 120.58625833720475, 119.28519026561179, 117.20645855894483, 117.24392457691724, 121.79070252936026, 123.86567503174587, 126.02959777809198, 127.34661549026671, 128.54917502248765, 127.47050575776935, 128.43550443605392, 127.70373308098462, 128.72735172461753, 126.61639454646074, 127.79114040289335, 128.0999654444948, 127.98249601686547, 125.00983730518107, 124.69990849534508, 124.05381624572846, 124.2165601378509, 127.12723108686139, 129.96351298712904, 132.6626435468287, 135.9020978476739, 141.83203426150487, 144.00309506174412, 145.246779707888, 147.8968150463599, 147.31974024135806, 148.20360019647063, 149.1206956915284, 151.29172710532623, 150.75814466224443, 150.0, 149.99999999999997, 150.0, 150.0, 149.77142386429554, 148.70056684019588, 148.0, 147.737895852728, 147.78872910076493, 145.56134027156378, 143.39524486392165, 142.45959273775304, 141.29020266476772, 141.5934529857311, 140.21698816458283, 138.1603997803033, 136.3945086743343, 136.67587172972043, 138.12518769663905, 140.27500266781132, 139.65708712047427, 139.7635236799912, 139.23898167713799, 138.87142639420037, 138.4434975147479, 137.6082872035111, 136.5214358975048, 137.5814514022768, 138.18769699353555, 139.037629360609, 140.08480193551873, 139.760455126848, 140.3753572809769, 142.47297491091157, 149.99999999999997, 150.0, 150.00000000000003, 148.71139624202434, 148.26650930894672, 150.0, 145.50500213084894, 142.70193087491023, 141.69029772245784, 148.73742489183962, 150.0, 150.0, 149.1930612968672, 140.79161560995104, 134.46327455245245, 133.03633096679448, 132.7796765915804, 130.9787179352188, 130.62138541929485, 149.6975411793244, 146.6618089778679, 146.4278942653548, 144.49842691500157, 141.98345062796014, 139.18859788357938, 135.80436924003976, 129.71334171723905, 123.55712611854369, 150.00000000000003, 150.0, 150.0, 150.0]",85.53910524340095
10061303,229.1959581375122,1565.0,164,[ 76 165],"[93.73539177525348, 93.01585581426257, 93.07614738739905, 93.9988781142295, 93.0580469444869, 93.06219234656228, 93.87664852122371, 81.31186088231225, 54.722942787647355, 50.39161686432924, 54.44618606382293, 73.50317001358523, 76.81505623272781, 76.7545421871205, 76.16323805022475, 76.13517373212034, 76.01426481392758, 76.2256691842563, 77.11991222236901, 79.10695081729251, 80.23809907611479, 82.15154712621757, 83.04224153712946, 84.8689008401418, 86.94381452813573, 89.6948010186203, 91.59538174662049, 93.51215123903239, 94.68086743660402, 97.37959947613214, 100.16711562569418, 101.38969876655003, 103.43225505704567, 106.1921479932084, 107.58292378925856, 110.36434059426846, 113.1603634104809, 115.26460592778248, 117.3810075268477, 120.22060921222348, 123.0683878455981, 125.92217836743873, 128.09941191056728, 127.44915783869024, 126.7993778244932, 126.1458793330765, 125.45741182798608, 124.7882763250013, 124.10726777503919, 124.18291251005263, 123.4757834063154, 122.75214823780902, 119.92845169749292, 117.08888521655669, 115.01256168565588, 112.14351531197825, 109.26169193425599, 107.21870192321867, 104.266080756533, 102.17823228488567, 99.34340283687597, 96.5346327903622, 95.15772694506528, 92.39716525760522, 90.26786995651838, 88.19926194755828, 86.16051673817887, 84.07459085786115, 82.09161710251668, 80.15187193232786, 78.12407996520265, 77.01526192745698, 75.0589466839595, 73.94114530795883, 71.97490932740085, 71.18607505107671, 69.34119900974167, 67.43593083852898, 66.6681506628922, 66.6470292570675, 65.41642219828842, 65.47343849222783, 64.1978764921794, 64.35237756266457, 64.20116184321043, 64.32936500747222, 63.33434277444854, 63.262952519100374, 62.631320852951994, 62.047058648620585, 60.097066947085814, 58.903977080342486, 57.53791242645477, 57.51425183882457, 59.37506323308008, 75.18027243815628, 93.01169236523971, 93.4188583817798, 96.05180391577693, 43.34797137684154, 112.17150849787205, 124.77993514070786, 125.50350411498174, 117.70824844247963, 109.89070305896223, 105.18818797862137, 101.71868332640241, 100.46434880934858, 99.08319610550558, 98.04743390759842, 97.93174470325287, 97.5177520452435, 97.71454623708004, 97.53025213935456, 96.67649335965118]","[146.02608193344525, 148.1985859468805, 150.2822922256114, 151.38742617207325, 152.13558368603373, 153.0, 153.0, 153.0, 153.31990469525516, 154.20683440642594, 154.13194522287606, 154.01900797497927, 155.76985808064634, 156.37520370371823, 157.8639151532177, 160.41026799871366, 160.3017003486026, 162.82812283271193, 165.61987055550037, 164.6892685022271, 162.88357765386795, 161.87560371279832, 161.59955593370438, 161.60466282641687, 163.59315597067172, 162.0, 161.6961052959843, 163.7926367508554, 166.06202950891057, 169.10438444049615, 174.7618209859696, 178.83889644185936, 179.24047391448752, 178.9617373098345, 179.5367805970786, 179.28807019574285, 180.1562099845078, 181.53717216173317, 180.3741382075849, 178.58599663192805, 161.4942872444036, 150.0, 150.0, 150.0, 150.0, 150.0, 160.11436141851988, 167.0306398496566, 166.22897397842536, 166.2870460784324, 165.47464210988824, 164.7919373554456, 163.15008826576255, 161.42354065274066, 159.04907555089787, 160.64414538633, 163.4241524394683, 165.30089572648524, 164.74328846819068, 161.93909200069888, 160.10903805143892, 160.84358625142772, 158.9352525311067, 157.38374466322244, 159.02175767202246, 160.8368674987914, 160.95720141738727, 162.98550315820106, 162.98113684595268, 162.869886090664, 159.57351644761107, 150.11456340093315, 150.0, 154.68412717515696, 163.45226654910266, 154.72335815726626, 150.0, 150.0, 150.0, 155.4475569651806, 162.0019865713448, 159.67880564754608, 159.04917772930952, 150.0, 150.0, 150.0, 148.7953284221021, 142.89396175517425, 131.61666916471785, 127.41030202774289, 116.43736571561834, 105.74496030335065, 88.44471896584166, 77.00518974477423, 68.86515319527994, 59.330512209933616, 54.169915417163345, 50.57909703790389, 50.10335349247302, 48.92426504535352, 167.15228401217064, 168.22620081133354, 168.82324890426696, 162.70561449921962, 167.0459837514613, 162.6257110679765, 154.439383333357, 159.77050378868358, 151.79429590476852, 150.0, 138.38468450178004, 132.10656373735185, 131.968259325681, 141.5129918248655, 150.0]",84.12489168102785
10061315,321.78888487815857,4085.0,179,[ 66 161],"[52.45965284106863, 52.66280107702295, 52.82639548367467, 53.908300082918274, 54.21417689118294, 55.44551963507287, 57.400667379163096, 59.429443551211094, 61.51863907596763, 63.652323753373835, 66.55585887714987, 68.7446395990625, 71.63701639843657, 74.59700446807486, 77.54720321801666, 79.77737299614833, 82.78288070831759, 85.04336549405622, 87.00805581503155, 90.069864138544, 92.05176008284015, 94.94832796497943, 96.84783681006184, 98.9339101065431, 101.6887202381453, 103.5955350775638, 105.60060926784661, 108.33352581065736, 110.34772451363507, 113.84456995158843, 115.26814097392744, 118.1343825594393, 121.76230084670894, 124.00715142198828, 125.528224712113, 124.28996633163703, 123.04631122109174, 121.68637238551838, 120.3952683075328, 119.88972577192024, 119.35777862491955, 117.94956491411881, 118.1169123189095, 118.32605771577865, 117.63870460698615, 116.89942116310725, 116.97151759180312, 116.9931707503646, 116.98147917793634, 117.78241963017373, 116.81268171650902, 117.51522570048732, 118.16774902518647, 118.7733831382242, 117.87951995638565, 115.59449459056947, 112.62885445824672, 108.91386368084082, 106.06355161245709, 104.71553591565609, 100.97732634223945, 98.07792510546224, 96.00324071476123, 93.16016887071092, 91.9248362108155, 89.00820664114255, 86.91632630269888, 84.11539601224419, 82.8078361320877, 80.81965417492098, 77.28150935002185, 76.82916551881138, 74.97507001512922, 72.78313546262486, 70.91986879646842, 69.06712380655001, 66.861187957219, 65.06512927105602, 64.36072410130336, 62.580998169739274, 60.844699383452664, 59.15795408678541, 56.35809600448863, 56.37253815328252, 55.50534805306356, 53.18386526780805, 51.234913229321144, 50.31458349191851, 47.28610252348888, 45.074909483478024, 43.76453852377837, 41.45232188449985, 40.31563936305303, 39.42168709720896, 39.20527041065026, 27.373467871510044, 94.23811854209627, 104.98435802123441, 110.58633285242495, 116.9438019925304, 126.17576021627947, 140.767424520358, 132.35140238051238, 125.35730240307986, 115.20445028556216, 111.26211462473921, 109.46817902428737, 108.00094459207057, 67.31502157422707, 31.066911312014504]","[69.59872716864284, 73.72496919937353, 77.88005223128819, 83.29511144945326, 90.38038425715817, 93.10244152793712, 97.64930574698126, 101.27192956196204, 104.08301482213349, 107.79655479734967, 110.54380173705007, 111.53096579366428, 113.47178079331326, 115.94648177632475, 114.64590675942702, 115.7975188597805, 117.67037513105248, 118.10811980739815, 119.98457439842069, 117.99752650998566, 117.08238075723796, 117.03500691381417, 117.97741935735347, 113.70669810508079, 113.35336088014161, 117.1995018055112, 120.05011881544853, 124.7933580130779, 130.44752503122783, 133.44520785583578, 136.95147293302523, 140.90013405553316, 139.85105611320358, 140.0817635900391, 141.97617177800913, 143.03493160298518, 144.97654079990772, 146.72132773694779, 150.0, 150.0, 150.0, 150.0, 150.0, 148.8058064056648, 144.95900552107364, 146.2802140595229, 143.89058727826512, 142.90121253226755, 141.66148507592152, 142.44984026921392, 142.7556383406416, 144.551598765481, 143.05474739722445, 139.38254225744203, 138.75885144354947, 136.95786361537427, 138.55082046471648, 143.20338186454535, 142.37747023362425, 140.757698789311, 136.75350209825177, 136.68687570193427, 136.95284965657078, 134.5335213853127, 133.49300613422662, 133.8104061639307, 133.24320892848246, 133.78284082134303, 134.3238502517395, 136.0, 136.23480292466644, 137.02710443966896, 138.4742775889602, 138.99295095021395, 150.00000000000003, 150.0, 150.0, 146.69519292704877, 148.28726935138363, 150.0, 150.0, 148.19541497639327, 137.0536707799098, 134.34272730294504, 142.12770107069662, 150.0, 150.0, 148.41573439173644, 120.70102631988036, 114.89279942198988, 109.60416655640581, 103.55691828106765, 100.9643617566519, 98.49284563155364, 94.0981094744813, 89.63518631514958, 92.3171104814958, 139.19614969785528, 140.0, 139.84516702054665, 139.2940025691792, 140.60615612129243, 136.7321054667401, 141.72696246148027, 146.0613063487671, 150.0, 150.0, 150.0, 124.33672163570698, 150.0]",92.78174593052023
10061326,121.01219260692596,643.5,161,[ 57 162],"[79.24190161878735, 83.48406050291626, 88.88654638118565, 93.6947844292322, 98.07428999485832, 100.48714474921553, 103.90827950679453, 105.96526207573874, 107.62296362670261, 107.88277063448342, 109.18359614006627, 109.63885822482848, 108.5342953860827, 106.84398003126728, 102.41541122605487, 98.0979667609782, 98.02374690318838, 98.56385496177035, 100.10608403427823, 100.6205589231534, 90.82467201291755, 85.85775345504182, 81.3674737022431, 79.045628346852, 79.30112083292975, 79.11150547973901, 81.06251520181894, 81.2597408660055, 83.07732906229212, 83.95417407961583, 85.27107204861909, 86.37715226130679, 87.47374545147127, 89.47742223913015, 91.49646052783757, 93.360259443084, 96.06678264343061, 96.64297660342388, 99.37581539307595, 101.41364238688989, 103.41047517317054, 106.18498860844159, 108.99039672031398, 111.06942789294914, 112.44685510876445, 115.26208315594212, 118.08651043291364, 120.91992133406146, 123.0561071058002, 125.94011866197795, 127.40347838551058, 126.02332981730257, 124.63838580031708, 124.76000141264436, 124.13537635442529, 122.74258118091684, 122.11317414067351, 121.4819981977457, 120.84396779288633, 120.19317741119342, 119.52715771749166, 118.81111151730028, 116.03257993734672, 113.23454939019553, 110.4162371099346, 107.57749887486497, 104.71879752329419, 102.65722858662897, 100.43086384316973, 98.48372433294188, 94.75122675834066, 93.40884082045733, 89.70170441735644, 87.59788620504034, 86.34745998648137, 83.44253348081564, 80.55104183796595, 78.45702642711387, 76.52539306207461, 75.19206739772741, 72.42848558767005, 70.50367067648531, 68.71169928255448, 67.4966869917111, 65.70854565213878, 64.86885621151397, 63.75215008161077, 61.984666190323445, 60.272724420428446, 57.441041404418954, 55.26953896208329, 53.05815211587108, 50.78793649095898, 47.35085234255122, 46.12010863208117, 40.611466549826304, 37.97937408199437, 35.24187770396217, 34.03880367729931, 36.874891887447035, 99.13693583910604, 100.10097119156751, 104.71238817526971, 109.38830677202266, 120.88614540264257, 128.00172747673815, 117.12920425076568, 110.10650696711645, 106.58256185810674, 99.94214609755379, 98.34874805355682, 98.01728120493162, 50.31352499539645, 29.99646875258539]","[106.99838244682047, 150.0, 137.05321269632827, 138.01153447738065, 78.49355839024231, 98.84233426629865, 87.35891554372309, 137.3345052050724, 150.0, 150.0, 98.30038756283996, 99.45870986498028, 100.94803323717917, 100.5, 100.80579096065895, 104.34479798697826, 104.0107349077321, 105.46336668163075, 106.17366483027055, 105.75763315597325, 106.01296513849559, 108.0, 108.38809329314881, 109.00351773216022, 108.39811817261925, 109.51043873266487, 108.91708960386909, 107.68131604311287, 109.37536987532042, 109.26261842322242, 107.63018404874488, 108.32136747060409, 107.83537420833878, 105.78062185598446, 104.92367519905582, 106.12599116562532, 109.36022335100462, 112.5868597097137, 114.19724468966001, 117.04427215987695, 122.77776825388294, 126.67994298829662, 129.68873029875374, 129.30305101963162, 127.28833399918733, 130.94024238561988, 132.48965401972194, 130.99716407069047, 130.1808484043452, 137.09240308319443, 150.0, 150.0, 150.0, 150.0, 149.76985285650906, 132.38182461923697, 125.44121431723684, 124.47872302197237, 124.2404217289212, 125.7187107176653, 125.84545974329038, 123.93683228427952, 121.42819447463349, 119.4866466781124, 118.27386351085183, 119.47641530720222, 120.0, 119.9475763732957, 118.31943963685808, 115.38695192583734, 114.15745274672378, 113.75726673435047, 112.38488591046504, 112.91082973689775, 112.21924382713128, 113.5, 114.05346606652311, 115.03210529666288, 116.05362929052806, 116.32295751514557, 121.28042172835158, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 146.8807047398452, 145.9602903187845, 146.5219259955741, 150.0, 150.0, 148.26911355581362, 118.36074469002975, 107.15589952324311, 105.53515766016515, 105.9283139788645, 106.08723295603973, 104.92590428794674, 140.72735438782317, 121.65915816885644, 120.45205945251428, 121.26020218853603, 120.2416522891292, 117.74984836976108, 116.3596710359304, 113.29385397064401, 107.96497074886986, 100.54660806484492, 122.54915766537152, 126.23069487839415, 150.0]",84.53910524340094
