time,perimeter,area,overl,location,diameter profile (pixels),Height (pixel intensity),length (pixels)
10061218,97.11269783973694,593.0,40,[232  15],"[29.038150823626463, 26.724133231581316, 25.95629687242563, 24.95966490395557, 26.24763445448641, 27.613925188213454, 30.759595382528993, 28.57830528563069, 27.5703849678717, 25.892058332717212, 25.023029072792852, 24.3992537941476, 24.277448819557485, 25.692581639195616, 24.012824486443044, 24.12779538627869, 24.509026384866495, 25.448970864636678, 25.486771521257076, 26.220802842267002, 28.25516087718253]","[155.32866099844625, 150.4415057687233, 150.0, 175.9243336707902, 177.0, 175.16208256304844, 172.3864950713325, 164.76623780442708, 151.58362846119132, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 148.55691566864974, 140.88753506280693, 136.25771433809442, 144.2420863561406, 150.0]",
10061230,331.76449966430664,4454.0,48,[225  14],"[9.19160751848999, 10.631785994500667, 14.207387270919238, 17.095296347464203, 19.295393376898375, 23.07263050399324, 26.224740392222763, 31.430009724180803, 29.45592778127302, 29.463314410694007, 27.81027226810462, 27.180014192623126, 27.00568320058848, 27.247682524439536, 28.082847073204388, 29.91531266369327, 24.535384684593154, 18.596179536978617, 16.460470739088898, 13.43029073310107, 11.318356815167526, 10.908647168072683, 26.62970561100594, 29.108330037896202, 30.2727799020468, 29.362821431711787, 28.535225562641735, 27.19007723925347, 27.593150911763104]","[149.2853037396804, 150.0, 150.0, 150.0, 150.00000000000003, 150.0, 151.1568815627956, 165.87184896014108, 168.47605667507307, 166.95879160560878, 165.15627279691572, 162.5007487474865, 158.4136081657959, 154.11841346200603, 146.55308665340604, 139.46551316561903, 123.52654751268928, 107.90700407868074, 77.8528859970237, 60.591432775162836, 51.89237809027254, 59.155245902800566, 74.24895742714905, 63.566440210837385, 143.18264370283995, 147.51163673730716, 150.0, 150.0, 150.0]",
10061241,127.74011445045471,809.0,48,[224  16],"[7.190559304679573, 9.441435167779487, 12.36321167033475, 15.195846566234717, 17.385035895903577, 22.316299959033103, 24.485374751003633, 27.274755395131077, 29.528209674396194, 30.47575493601492, 33.42479459606594, 34.59038569855981, 35.63926457657012, 36.90140483144428, 38.18556464915091, 39.70037487055959, 36.5604077838938, 34.05056399708495]","[145.55530813897573, 141.87645874845032, 140.6998217692146, 150.0, 150.0, 150.0, 153.85877730623682, 155.7134486622233, 151.7540153520483, 155.0, 159.5, 159.16374160557496, 156.043680656049, 153.35127048807522, 150.93049508865312, 149.05617557800647, 145.84872834998436, 144.0225999905072]",
10061303,347.52185904979706,4810.5,56,[216  15],"[4.285869434259382, 6.378461648476987, 8.628293643553555, 11.506996675561828, 14.514672589961531, 16.69212836028687, 19.47678775305394, 22.65337392913347, 26.344850089716704, 29.520550278690994, 32.644208674668036, 31.815960894293944, 31.62513495274726, 31.32402690599929, 30.412995573919112, 29.058436019331374, 29.396924915796532, 28.43783518174942, 28.340947183906017, 29.006121852800568, 29.35934062367226, 32.5560702097025, 36.93842613215548, 34.51127596138297, 33.34644058753714, 32.14149755212759, 31.571906639739474, 30.287077014574447, 30.017112413339937, 30.687685766033425]","[150.0, 150.0, 155.44262134825573, 156.67049739955712, 164.47535191960998, 176.175097949381, 150.0, 150.0, 150.0, 170.87479013397962, 189.16477559477465, 192.8313275569238, 191.06639280559142, 190.01870117343267, 187.54149317456591, 184.33460611562242, 177.5381483977407, 174.1099972152623, 168.59477267518113, 162.85772799336593, 159.70070919041106, 155.66679545586055, 152.99121217704712, 160.81630611043303, 156.44831930873988, 154.8201329643994, 153.88030304589248, 150.09499195311045, 150.01931510757493, 147.59600228535373]",
10061315,167.4385987520218,1498.5,42,[203  11],"[3.5608392993242797, 5.661745172967815, 8.580564331435898, 12.445675768275866, 15.521035217336337, 22.004112701906692, 20.554537456087473, 19.837872957891193, 19.954581200834596, 19.443940325511402, 20.51383898448567, 20.821593993621583, 20.777247305620868, 20.296730026611268, 19.502578254490736, 19.920823363956227, 20.03535060222393, 22.156755847822648, 31.128037393964835, 27.422721446252034, 26.643876991621056, 26.163507454627517, 26.295643772180235]","[150.0, 150.22959342854213, 151.94269873741493, 158.4154044943867, 160.85534142770712, 162.1456976060246, 155.72603972402553, 150.0, 150.0, 156.05638114718997, 163.81430855264955, 164.15804269914878, 156.65185160067594, 158.33878959394997, 154.74146151054418, 151.10945252823788, 146.8549433404695, 142.93553154027853, 134.85510505945814, 135.04656817526143, 130.85871595518034, 131.9019306868093, 139.68817706462409]",
10061326,338.9360725879669,4704.0,41,[204  11],"[5.61797175067932, 9.201948978884342, 11.466751797843468, 15.200654367069257, 19.293763483435782, 22.704781831790143, 22.521065175698396, 22.11987062282404, 22.760362793700317, 22.135789944326035, 22.124546733233686, 23.258057256778976, 22.878341009716014, 23.05157940016842, 23.39680568982547, 33.41653353451449, 24.003480937749494, 26.31372717012446, 26.91729250020585, 24.822785302753363]","[155.65451435245836, 169.11861202739402, 171.9354954045311, 157.70425878595404, 150.0, 150.0, 161.95579686474508, 168.74342363215504, 167.32620297621798, 161.76379465226748, 155.49511555091328, 152.28163447005545, 147.38858609090408, 142.46683579635496, 137.74560232762363, 130.31742533277964, 132.05391290498986, 150.00000000000003, 150.0, 150.0]",
