time,perimeter,area,overl_set,centers_set
10061218,,,,
10061230,,,,
10061241,379.3208485841751,4224.5,98.0,[ 95 210]
10061303,175.35533845424652,1553.5,99.0,[ 88 208]
10061315,389.8061298131943,4560.5,107.0,[ 85 207]
10061326,112.1248904466629,793.5,135.0,[ 70 206]
