time,perimeter,area,overl,location,diameter profile (pixels),Height (pixel intensity),length (pixels)
10061218,157.35533845424652,1268.5,59,[ 44 227],"[27.253512984835215, 26.97089323684368, 26.89099153927972, 27.324285585962727, 27.81585339241351, 27.70925324458745, 27.399733408645186, 27.460799381993667, 28.48154825710846, 28.41123832855925, 27.995761121843966, 28.039740537479553, 28.174579109434262, 27.428080748214363, 27.49000670779799, 27.588621009959713, 28.04913480716796, 27.294154465439632, 27.87228120593776, 27.57445668715728, 26.61489353184512, 26.936711540542277, 27.08048371029156, 26.58531224635565, 26.17005143586404, 26.067207978384786, 26.01999113221555, 26.00024737724539, 26.01409516631545, 26.06920030221577, 27.111530402226848, 27.005211661467257, 27.741516668763467, 27.109010263080194, 27.656699626171882, 28.59428566964859, 29.567704712565487, 31.34417097367781, 30.259643561396544, 27.101676722212982, 24.160985435754018, 22.74676866385439, 21.27456600748698, 19.87963295336204, 19.235959378633467, 37.87493950561236, 44.70362165275272]","[150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 142.1957541784889, 150.0, 150.0, 143.064349654515, 132.97662302738271, 134.89860399260934, 135.99099859310132, 140.78250691097736, 147.56406411158844, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.3722367840647, 150.5, 150.83195748564435, 151.0, 151.27522699504163, 152.70547179566648, 154.0, 153.66963797465235, 153.2528341690122, 154.0, 154.51468986135916, 155.08800222091915, 155.52974562252507, 154.2977369345101, 153.6358012510494, 151.98001719831294, 151.31041068540057, 147.69963494310005, 146.3248636512248, 143.95549995728976, 142.42001329985322, 141.15338955989702, 155.70592801989665, 150.17846324838018]",37.48528137423857
10061230,185.35533845424652,1875.5,64,[ 44 226],"[20.570800032635788, 24.617127425082334, 27.874264907891035, 30.577876613223296, 30.5882744181003, 30.601155334114743, 30.653226167701725, 30.87270644565279, 30.905948449690634, 31.052872941270362, 30.145787794177554, 30.412563623179594, 30.459414131998287, 30.52543272534892, 30.77317790895367, 31.04831652312737, 30.159049066545066, 30.275358618934284, 30.532907221215897, 30.925687841920407, 29.72980493224804, 30.184762971578266, 30.69745146998188, 29.46474478856141, 30.068058101747535, 29.301786406475003, 29.571928994408196, 28.5371833882227, 28.80978426052004, 29.505032782705477, 28.34873273204148, 28.29231295723971, 28.239712889497525, 28.36169896705686, 28.147479974884384, 28.09404089339374, 28.06281512699539, 28.037453050451987, 28.33540168328653, 28.005807850641006, 28.000257357668765, 28.00203348957607]","[150.0, 135.01354419936254, 150.0, 137.30649006920555, 150.0, 128.72219027631147, 130.2081465095626, 128.78752297949273, 132.47601426618053, 133.4663484478728, 134.22726938342694, 150.0, 150.0, 150.0, 150.0, 140.3796560207428, 130.22990691523748, 131.27518222134046, 133.99781213730066, 135.47159212183803, 143.78075119853926, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 149.02756951868216, 147.88940059775885, 148.35454887811846, 149.0, 149.47929315908775, 150.43041022905987, 151.0, 151.0, 150.5, 151.0444333314199, 151.24708190074767, 152.40509843134453, 153.78365603705657, 153.10048666354504, 152.86960152216503]",44.14213562373095
10061241,108.81118214130402,679.5,86,[ 36 226],"[3.6369348177, 4.939820544861479, 8.486805529916971, 10.614203422109206, 13.568491278442803, 15.788381814494468, 18.71428323831865, 22.686780806562044, 25.93008139560365, 29.945187249806544, 29.5277292475416, 28.17244234824507, 28.988407799961934, 27.450786019232755, 27.45017308273471, 28.247003943426837, 27.58474050192322, 28.032762599302565, 27.25330008162446, 27.88408630779098, 27.503160994305517, 26.476431451287556, 26.422520920490555, 26.359357666211853, 26.322660909567766, 26.29167227215671, 26.26573971600206, 27.128745438910137, 26.220870790351775, 26.2086707137763, 26.1998259533553, 26.192789060848888, 26.19164314976512, 26.1937667980575, 26.19937400114213, 27.171384928565303, 26.46566692000262, 26.241473673704423, 26.26637666024439, 26.298609350572164, 26.339874925652865, 26.44627005760874, 26.491909861865047, 26.585811717220373, 27.59092476784184, 26.859758109869837, 27.291148484846804, 28.295174481099203, 30.600652552549924, 31.944436079250508]","[122.47611385617496, 150.0, 114.06475768809067, 44.46937763366873, 52.742829903357396, 57.920481548325625, 110.85755337776587, 149.99999999999997, 150.0, 150.0, 150.0, 149.99999999999997, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 121.48774845888107, 98.27992948313339, 99.37537984454912, 100.3907939531681, 101.0, 141.24798899798674, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.43765761426863, 113.96299484590563, 117.0, 116.98792090085212, 117.3299480690778, 117.5, 117.22094173394662, 117.59453369275714, 118.93319541342358, 120.72484158808997, 120.09922266135162, 119.5, 119.90211095568074, 120.5327107566246, 120.5, 120.72190149811706, 121.0, 120.41842962887998, 120.5]",42.72792206135786
10061303,158.62741661071777,850.0,110,[ 26 224],"[4.244114680934121, 6.352187791163637, 9.228293538110082, 12.059306834933395, 15.027681999737634, 17.905967823414432, 20.84313924821987, 24.7594143254748, 26.88621579229344, 30.151356480526367, 32.734069807300074, 32.09357121838373, 31.62509757836066, 32.166449400631194, 31.451873316158157, 30.921844613604897, 30.469486970090983, 29.612010479143905, 30.309390529153237, 29.326259382586592, 30.080328500950976, 29.241951954794203, 29.594780334787522, 29.04107752175112, 29.36985837982016, 28.586374447664006, 29.010077870652864, 29.22112527458839, 29.148480861025604, 28.319745950427066, 28.274810486481687, 28.234668073359863, 28.185352317611276, 28.155274718741225, 28.15453167710143, 29.106692045707703, 28.0854992554989, 28.0681295263442, 28.053284040255402, 28.040735101254562, 28.026497569671477, 28.01864135156478, 28.012408774006765, 28.97820382847179, 28.00414443514666, 28.001803650383593, 28.000467076847556, 28.000003219787533, 28.000288738749028, 28.00120794167858, 28.546442852686134, 28.005395205029878, 28.007700643984684]","[150.0, 150.0, 150.0, 150.0, 150.0, 109.23647981139847, 94.40188336989863, 73.54697124328644, 80.27248203784026, 85.0, 100.48577897114586, 120.70894166054417, 150.0, 150.0, 150.0, 150.0, 150.0, 133.38163537188217, 131.00260009489614, 140.71754626762274, 150.0, 150.0, 130.74186183881022, 115.27091372031731, 116.48098335858307, 116.85772534610885, 121.48925139113649, 143.520982727648, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 141.86383181210104, 130.55855617458633, 126.791505304048, 127.5, 128.17105706752812, 128.797375931277, 130.01509881605577, 129.43197034592455, 130.32986589486092, 128.40717337875253, 128.8225975962592, 129.24913767960305, 129.22631966382528, 129.2995198446763, 129.0, 129.0, 128.77168200855178, 128.0, 129.27111513030138]",48.72792206135786
10061315,120.1248904466629,846.5,40,[ 20 223],"[4.211967969913331, 8.64566010821256, 9.925635319447565, 12.708766474646701, 15.556400757530923, 18.38772524176563, 21.276952039870025, 24.295050549826335, 28.107149756739133, 32.9357445253648, 37.844185397854375, 41.0060089098622, 41.037954442513836, 40.88380180292257, 39.87494159314308, 39.813277280871624, 38.51990720095992, 39.02639733704888, 38.843733770849845, 38.31177413944126, 37.82088619378163, 38.63828379849508, 37.58323647120059, 37.9508363576245, 38.528179749634376, 38.000451480651975, 37.37390383512246, 37.34692565605011, 37.32788516998592, 37.31613546895993, 37.31123072343004, 37.31588708262839, 37.32744301908015, 37.346313198344816, 37.37316057710273, 38.209753823914276, 37.5289997423609, 38.15372038949293, 37.616681501623106, 37.71011211523982, 38.70546446706091, 38.02752849906889, 38.69164964585437, 38.53152690588169, 40.66985613331533, 39.326422306968915, 39.98585476575336, 40.75477685889007, 41.6784793475032, 42.93187076649029, 42.602271821897304]","[134.6037862816657, 45.40079703597444, 44.050821502602844, 42.00341252824203, 41.44909912622321, 39.85267923138093, 39.30093901402799, 40.183738697630616, 40.86280708169354, 41.76090209433177, 44.6766181686316, 71.22294073911507, 124.7851698434584, 150.0, 150.0, 104.5, 99.9751243305699, 106.35270310799994, 106.21940359585014, 109.977382706467, 110.53293830042648, 107.92624132085987, 106.78446598219796, 125.0890917321087, 85.83139551632732, 68.7660271511073, 69.2483707824582, 69.73056382829036, 70.63821451980215, 71.5, 97.4858802460779, 111.0, 132.56335369205414, 130.3896221985369, 112.0, 95.66753085772385, 75.0, 80.89960216782443, 83.52185226835122, 84.99215391236501, 83.76986920950671, 83.5, 87.91360007396014, 87.22170457013618, 88.88221460379162, 94.90161901898274, 94.53999084951425, 95.29031823712887, 99.89391445052095, 100.69710157839123, 103.69145972527932]",43.38477631085024
10061326,319.09545290470123,3870.5,99,[ 35 209],"[24.059791510695163, 28.660290246454963, 30.869271123526772, 36.61302938098754, 42.400679889316606, 47.57387344583464, 52.776028846078695, 60.63088828211895, 67.42449712639882, 68.53141279415331, 68.65331220725739, 68.27245077098448, 68.20382947509026, 70.07690086959781, 70.61389880919262, 65.25825001415333, 60.111293558293255, 57.27439078086694, 53.47020149436118, 45.22901089793885, 44.9275762772222, 44.865933103385956, 44.6197815296683, 44.480972801636774, 43.69526486534916, 44.39231906533079, 43.684347054692935, 43.023794017873456, 43.00003286568693, 43.02021573788976, 43.218050797126175, 44.07179912813699, 43.987157023788555, 43.291846352705065, 43.418041723730326, 43.51445097270125, 44.25400287241853, 44.529859613189615, 43.85037292041883, 44.20160347747827, 45.07759023030139, 45.54162430233836, 44.69405629246083, 44.583721522379975, 46.48975976525858, 45.67884182392193, 46.36181670578465, 45.716056606397586, 46.47882523364271, 45.961014625759816, 45.70821584993192, 46.37501491558318, 46.09080403591909, 47.15480136138453, 46.64480734737203, 46.536181227564015, 45.977063832872844, 42.71260237810133, 40.529135492810745, 36.6947536079855, 34.505263592777865, 29.40064851232689, 26.636471710518645, 24.451041328330533, 21.701467393795042, 18.437266863181936, 16.267751741704842, 14.104910654873267]","[61.46448180502438, 54.42597749252297, 56.97422275177634, 56.5, 55.085866991147086, 53.2637314410514, 53.74635924246745, 54.96782933334068, 54.21903561103875, 56.986491350124375, 54.730314470485034, 55.79149037085081, 55.08862599397713, 49.065105049134345, 50.07979769669628, 50.94741910363742, 55.46127586873764, 56.83481480689149, 55.53415367577662, 56.82596958527073, 53.31453957800504, 53.603876615482626, 52.0, 53.61437245663878, 51.653382513831424, 51.284050781700024, 50.79195550848962, 50.0, 50.0, 49.83319276353502, 48.943861062712784, 48.5, 56.204791399976074, 150.0, 150.0, 150.0, 150.0, 150.0, 131.481474817962, 57.06453924910957, 43.25273213889446, 41.5053737712317, 41.0, 40.768125545862276, 40.273971427306, 40.0, 40.0, 39.73903477476475, 38.5, 38.21583849988304, 38.0, 38.0, 38.0, 38.0, 36.0, 36.0, 32.5, 32.5, 29.33713940325346, 29.272810514048906, 29.5, 25.0, 59.49864858179588, 21.0, 60.04844122865679, 50.05754289321426, 85.5, 80.85447960327312]",57.87005768508881
